"Hashtag1";"Hashtag2";"Correlation"
"13Novembre2015";"FluctuatNecMergitur";"0.6497742"
"13Novembre2015";"ParisSeSouvient";"0.6480543"
"19hRuthElkrief";"QuestionsPol";"0.5032578"
"20hMLP";"ConventionMLP";"0.6084485"
"8h30Aphatie";"franceinfo";"0.5027582"
"8h30Aphatie";"ToutPourLaFrance";"0.5486021"
"AccordDeParis";"climat";"0.6065430"
"AccordDeParis";"COP21";"0.6633251"
"AccordDeParis";"COP22";"0.5932100"
"AccordDeParis";"ParisAgreement";"0.6696036"
"AccordDeParis";"SmileForThePlanet";"0.7408240"
"AEM2016";"LaRochelle";"0.7100239"
"AJ2017";"AJBordeaux";"0.5779540"
"AJ2017";"AJToulon";"0.6037356"
"AJ2017";"AJZenith";"0.6820886"
"AJ2017";"DimanchePolitique";"0.5376927"
"AJ2017";"LE20H";"0.5890430"
"AJ2017";"TousJuppe";"0.7454366"
"AJBordeaux";"AJZenith";"0.5417324"
"AJBordeaux";"TousJuppe";"0.6118933"
"AJToulon";"DimanchePolitique";"0.5905797"
"AJToulon";"TousJuppe";"0.5874460"
"AJZenith";"TousJuppe";"0.6515934"
"ANOC";"Paris2024";"0.7558659"
"AuNomDuPeuple";"JeSoutiensLaPolice";"0.5679146"
"AuNomDuPeuple";"migrants";"0.5772754"
"AvecBLM";"renouveau";"0.6215647"
"AvecNS";"NS2017";"0.5530411"
"AvecNS";"NS20H";"0.6538418"
"AvecNS";"NSNice";"0.5140125"
"AvecNS";"ToutPourLaFrance";"0.7819743"
"Bataclan";"Sting";"0.5133434"
"Bayrou";"Juppé";"0.5090495"
"BourdinDirect";"ToutPourLaFrance";"0.5334026"
"climat";"COP22";"0.5912619"
"climat";"ParisAgreement";"0.5144093"
"Clinton";"ElectionNight";"0.6074020"
"Clinton";"Trump";"0.7737245"
"ConseildeParis";"Paris";"0.6276449"
"COP21";"ParisAgreement";"0.6078192"
"COP21";"SmileForThePlanet";"0.5948759"
"COP22";"ParisAgreement";"0.5041567"
"DirectAN";"PLF2017";"0.5811577"
"directsénat";"Sénat";"0.5815107"
"droite";"gauche";"0.5057408"
"droite";"PrendsGarde";"0.6379369"
"Election2016";"ElectionNight";"0.5279610"
"ElectionNight";"Trump";"0.5923871"
"Erdogan";"Turquie";"0.5156858"
"fichierTes";"TES";"0.6229391"
"Fillon";"Fillon2017";"0.6161029"
"Fillon";"FillonGagnant";"0.6190962"
"Fillon";"Juppé";"0.5275939"
"Fillon";"LEmissionPolitique";"0.5857355"
"Fillon2017";"FillonGagnant";"0.8460039"
"FluctuatNecMergitur";"Paris";"0.5314918"
"FluctuatNecMergitur";"ParisSeSouvient";"0.8727995"
"FluctuatNecMergitur";"stationnement";"0.5385051"
"FN";"migrants";"0.5278041"
"FranceInsoumise";"JLM2017";"0.6804462"
"HDP";"Turquie";"0.6923865"
"Hollande";"Valls";"0.5883335"
"innovation";"numérique";"0.5750503"
"itele";"JeSoutiensItele";"0.6537595"
"JeSoutiensLaPolice";"ManifPolice";"0.5816383"
"JLM2017";"Mélenchon";"0.5237152"
"LaBAP";"PrendsGarde";"0.5228742"
"LaBAP";"Tours";"0.6114268"
"LaBAP";"UE";"0.7646671"
"LaBAP";"UEngagement";"0.7272585"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5127539"
"LE20H";"TousJuppe";"0.6348103"
"LeMans";"UEngagement";"0.5208129"
"MadeInFrance";"Montebourg";"0.6015094"
"ManifPolice";"PoliciersEnColere";"0.5671772"
"Meyzieu";"ToutPourLaFrance";"0.6548617"
"migrants";"Trump";"0.5426303"
"NS2017";"ToutPourLaFrance";"0.6044686"
"NS20H";"NSBordeaux";"0.5012481"
"NS20H";"NSNice";"0.5451770"
"NS20H";"NSToulon";"0.5285988"
"NS20H";"ToutPourLaFrance";"0.6287184"
"NSBordeaux";"NSRTL";"0.6175170"
"NSBordeaux";"ToutPourLaFrance";"0.6157035"
"NSMarseille";"NSNice";"0.6282225"
"NSMarseille";"ToutPourLaFrance";"0.5906913"
"NSNice";"NSRTL";"0.5674578"
"NSNice";"NSToulon";"0.6296369"
"NSNice";"ToutPourLaFrance";"0.6495400"
"NSRTL";"ToutPourLaFrance";"0.5557298"
"NSToulon";"ToutPourLaFrance";"0.5102533"
"Paris";"ParisSeSouvient";"0.5286542"
"Paris";"stationnement";"0.6104185"
"ParisAgreement";"SmileForThePlanet";"0.6563127"
"PrendsGarde";"UEngagement";"0.6064925"
"Primaire";"Primaire2016";"0.5760496"
"Primaire2016";"PrimaireDroite";"0.5458715"
"Tours";"UEngagement";"0.5036843"
