"Hashtag1";"Hashtag2";"Correlation"
"1erDecembre";"VIH";"0.5035458"
"20hMLP";"AuNomDuPeuple";"0.5310245"
"20hMLP";"LaRéunion";"0.5346153"
"20hMLP";"Mayotte";"0.6841939"
"20hMLP";"MLPOutremer";"0.6610471"
"AJ2017";"AJBordeaux";"0.5737410"
"AJ2017";"AJNancy";"0.5490191"
"AJ2017";"AJToulouse";"0.5196143"
"AJ2017";"AJZenith";"0.6930575"
"AJ2017";"JeVoteJuppé";"0.5507874"
"AJ2017";"JuppéGagnant";"0.6069846"
"AJ2017";"JuppéPrésidentCest";"0.6428712"
"AJ2017";"VivementJuppe";"0.7385651"
"AJBordeaux";"AJZenith";"0.5106914"
"AJBordeaux";"VivementJuppe";"0.5577816"
"AJNancy";"AJToulouse";"0.5450066"
"AJNancy";"JeVoteJuppé";"0.5098762"
"AJNancy";"JuppéPrésidentCest";"0.5132327"
"AJNancy";"LE20H";"0.6114880"
"AJToulouse";"JeVoteJuppé";"0.5021659"
"AJToulouse";"JuppéPrésidentCest";"0.6063870"
"AJToulouse";"VivementJuppe";"0.5180366"
"AJZenith";"VivementJuppe";"0.6572374"
"ANOC";"ANOCGA2016";"0.9099827"
"ANOC";"Paris2024";"0.7161756"
"ANOCGA2016";"Paris2024";"0.7513236"
"AuNomDuPeuple";"ConventionMLP";"0.6109115"
"AuNomDuPeuple";"HéninBeaumont";"0.6387981"
"AuNomDuPeuple";"LaRéunion";"0.6269589"
"AuNomDuPeuple";"LeVraiFillon";"0.6035594"
"AuNomDuPeuple";"Marine2017";"0.5066146"
"AuNomDuPeuple";"Mayotte";"0.6667422"
"AuNomDuPeuple";"MLPOutremer";"0.5161232"
"AuNomDuPeuple";"SalonDuCheval";"0.5287054"
"AvecNS";"NS2017";"0.5651336"
"AvecNS";"NS20H";"0.6840568"
"AvecNS";"NSBordeaux";"0.5248541"
"AvecNS";"NSNice";"0.6043214"
"AvecNS";"NSNimes";"0.6163301"
"AvecNS";"NSRTL";"0.5002929"
"AvecNS";"ToutPourLaFrance";"0.8004300"
"Bataclan";"Sting";"0.5775677"
"climat";"COP22";"0.5340513"
"Clinton";"ElectionNight";"0.5137154"
"Clinton";"Trump";"0.7197762"
"ConseildeParis";"Paris";"0.5577712"
"ConventionBAP";"LaBAP";"0.5279102"
"ConventionBAP";"PrendsGarde";"0.5198759"
"ConventionMLP";"LeVraiFillon";"0.5362566"
"ConventionMLP";"Marine2017";"0.5503354"
"ConventionMLP";"Mayotte";"0.5812569"
"ConventionMLP";"MLPOutremer";"0.5724294"
"DelitDentraveIVG";"IVG";"0.6288876"
"DimPol";"France3";"0.6010695"
"DirectAN";"QAG";"0.5003814"
"ElectionDay";"ElectionNight";"0.5435223"
"ElectionNight";"Trump";"0.5197898"
"fichierTes";"TES";"0.5143758"
"Fillon";"Juppé";"0.6661387"
"Fillon";"Sarkozy";"0.6437044"
"Fillon";"Trump";"0.5950344"
"Fillon2017";"FillonGagnant";"0.5757901"
"Fillon2017";"JeVoteFillon";"0.5498399"
"FillonGagnant";"JeVoteFillon";"0.5205147"
"FillonGagnant";"Vérité";"0.5626308"
"FluctuatNecMergitur";"ParisSeSouvient";"0.8080737"
"FranceInsoumise";"JLM2017";"0.7815848"
"GrandParis";"SIMI2016";"0.5025596"
"HéninBeaumont";"LeVraiFillon";"0.5331080"
"Hollande";"PrimaireDroite";"0.5109999"
"Hollande";"Sarkozy";"0.5292865"
"Hollande";"Valls";"0.5521021"
"JeVoteJuppé";"JuppéPrésidentCest";"0.5916733"
"JLM2017";"Mélenchon";"0.5564878"
"JLM2017";"Obsinsoumis";"0.6794564"
"Juppé";"Sarkozy";"0.5162344"
"Juppé";"Trump";"0.5040748"
"JuppéGagnant";"JuppéPrésidentCest";"0.6413442"
"JuppéPrésidentCest";"LE20H";"0.5077760"
"JuppéPrésidentCest";"VivementJuppe";"0.5416768"
"LaRéunion";"Mayotte";"0.6742225"
"LaRéunion";"MLPOutremer";"0.5546654"
"LaRéunion";"outremer";"0.5048111"
"LeVraiFillon";"Mayotte";"0.5302137"
"MadeInFrance";"MIFexpo";"0.5659372"
"Mayotte";"MLPOutremer";"0.7365866"
"Mayotte";"outremer";"0.5332173"
"Meyzieu";"ToutPourLaFrance";"0.6283740"
"Montebourg";"QuestionsPol";"0.6083986"
"Normandie";"Rouen";"0.5214484"
"NS2017";"ToutPourLaFrance";"0.6020382"
"NS20H";"NSBordeaux";"0.5689936"
"NS20H";"NSNice";"0.5553199"
"NS20H";"ToutPourLaFrance";"0.6456633"
"NSBordeaux";"NSNice";"0.5226416"
"NSBordeaux";"NSRTL";"0.7078524"
"NSBordeaux";"ToutPourLaFrance";"0.6463805"
"NSNice";"NSNimes";"0.7049836"
"NSNice";"NSRTL";"0.5933101"
"NSNice";"ToutPourLaFrance";"0.6682631"
"NSNimes";"ToutPourLaFrance";"0.6278959"
"NSRTL";"ToutPourLaFrance";"0.6004496"
"PalaisDesCongrès";"Vérité";"0.5703963"
"PLF2017";"PLFSS2017";"0.5649840"
"PLF2017";"QAG";"0.5459696"
"PLF2017";"Sénat";"0.5976231"
"Primaire";"Primaire2016";"0.5420661"
"Sarkozy";"Trump";"0.5257347"
"sida";"VIH";"0.5396369"
