"Hashtag1";"Hashtag2";"Correlation"
"19eme";"Paris19";"0.6057950"
"6eRepublique";"FranceInsoumise";"0.6309310"
"8h30Aphatie";"franceinfo";"0.6195082"
"Alfortville";"JeVoteValls";"0.6392344"
"Alfortville";"Valls2017";"0.5914044"
"AuNomDuPeuple";"Calais";"0.5773344"
"AuNomDuPeuple";"ConventionMLP";"0.5607896"
"AuNomDuPeuple";"Koblenz";"0.5944208"
"AuNomDuPeuple";"LeVraiFillon";"0.7481130"
"AuNomDuPeuple";"Marine2017";"0.8717456"
"AuNomDuPeuple";"migrants";"0.5960655"
"AuNomDuPeuple";"MLPTF1";"0.7131281"
"AuNomDuPeuple";"RSI";"0.5242014"
"AvecMV";"AvecValls";"0.5416687"
"AvecMV";"Valls2017";"0.7363476"
"AvecMV";"VallsParis";"0.5135611"
"AvecPeillon";"ONPC";"0.6568535"
"AvecPeillon";"peillon2017";"0.8795701"
"AvecValls";"JeVoteValls";"0.5571355"
"AvecValls";"Valls2017";"0.6473451"
"AvecValls";"VallsParis";"0.6128988"
"AvenirEnCommun";"FranceInsoumise";"0.5928250"
"AvenirEnCommun";"JLM2017";"0.8061869"
"benoithamon2017";"Hamon2017";"0.6075650"
"Brest";"Bretagne";"0.5429000"
"Bretagne";"mer";"0.5204848"
"Budget2017";"DirectIDF";"0.6138846"
"Calais";"migrants";"0.5830003"
"CES2017";"FrenchTech";"0.5946153"
"ClermontFerrand";"RevenuUniversel";"0.5412594"
"CNlesRépublicains";"Fillon2017";"0.5820674"
"CNlesRépublicains";"FillonLaVillette";"0.5778827"
"CNlesRépublicains";"JTFillon";"0.5611825"
"concert";"musique";"0.5520892"
"ConfDePresse";"QuestionsPol";"0.6340163"
"ConfDePresse";"RevenuUniversel";"0.5527909"
"Conferasmus";"Erasmus";"0.5971019"
"Conferasmus";"ErasmusPlus";"0.6331695"
"ConseildeParis";"Paris";"0.5606548"
"ConventionMLP";"Koblenz";"0.5450064"
"ConventionMLP";"LeVraiFillon";"0.6639426"
"ConventionMLP";"Marine2017";"0.6078977"
"ConventionMLP";"MLPTF1";"0.5776316"
"ConventionMLP";"Tromelin";"0.5150633"
"CPA";"GarantieJeunes";"0.6370934"
"En2017";"Paris";"0.5488143"
"En2017";"StopPollution";"0.5831939"
"EnMarche";"LaMajoritéEnMarche";"0.5522767"
"Fillon";"Hamon";"0.5727222"
"Fillon";"Macron";"0.6525951"
"Fillon";"PenelopeFillon";"0.5000967"
"Fillon";"PenelopeGate";"0.5957969"
"Fillon";"Trump";"0.5228333"
"Fillon";"Valls";"0.5926924"
"Fillon2017";"FillonLaVillette";"0.6524209"
"Fillon2017";"JTFillon";"0.5633500"
"Fillon2017";"VoeuxFillon";"0.5520671"
"FillonNice";"LE20H";"0.5477790"
"FillonNice";"Séguin";"0.5072500"
"FillonNice";"VoeuxFillon";"0.5233988"
"FranceInsoumise";"FranceInter";"0.5262810"
"FranceInsoumise";"JLM2017";"0.6159333"
"FranceInter";"Uber";"0.5280344"
"FRANOR";"Handball2017";"0.5716102"
"FrenchTech";"startup";"0.5181597"
"FrenchTech";"startups";"0.5008638"
"Hamon";"Hollande";"0.5055489"
"Hamon";"Macron";"0.5576639"
"Hamon";"PrimaireGauche";"0.5143269"
"Hamon";"PrimairesGauche";"0.5594130"
"Hamon";"Valls";"0.7393829"
"Hamon2017";"INJ";"0.6605019"
"Hamon2017";"RevenuUniversel";"0.6430740"
"Hamon2017";"RUE";"0.6500397"
"Handball2017";"PhenomenalHandball";"0.6609262"
