"Hashtag1";"Hashtag2";"Correlation"
"19hRuthElkrief";"EnMarche";"0.5187088"
"19RuthElkrief";"ChoisirLaFrance";"0.5549131"
"19RuthElkrief";"DangerMacron";"0.5424835"
"19RuthElkrief";"InvitePol";"0.5818423"
"19RuthElkrief";"LeTalk";"0.5144712"
"19RuthElkrief";"Marine¿Nice";"0.5848344"
"19RuthElkrief";"MLPTF1";"0.6986047"
"19RuthElkrief";"Pageas";"0.5504637"
"19RuthElkrief";"PerpignanMLP";"0.6407571"
"2017LeDebat";"Debat2017";"0.5692174"
"6moisBH";"BHJaures";"0.5195047"
"6moisBH";"CoeurBattant";"0.5442920"
"6moisBH";"Hamon2017";"0.5298614"
"Alsace";"Strasbourg";"0.5600919"
"Amiens";"Whirlpool";"0.5483364"
"ArcisSurAube";"DangerMacron";"0.5361029"
"ArcisSurAube";"InvitePol";"0.5326941"
"ArcisSurAube";"Pageas";"0.6446820"
"AuNomDuPeuple";"ChoisirLaFrance";"0.8030214"
"AuNomDuPeuple";"DangerMacron";"0.6859722"
"AuNomDuPeuple";"InvitePol";"0.5080575"
"AuNomDuPeuple";"JeChoisisMarine";"0.5109503"
"AuNomDuPeuple";"JeVoteMarine";"0.7276649"
"AuNomDuPeuple";"LeVraiFillon";"0.5499401"
"AuNomDuPeuple";"Marine2017";"0.8484794"
"AuNomDuPeuple";"Marine¿Nice";"0.6004701"
"AuNomDuPeuple";"MarineAParis";"0.6991030"
"AuNomDuPeuple";"Marine¿Villepinte";"0.6260727"
"AuNomDuPeuple";"MarseilleMLP";"0.6483715"
"AuNomDuPeuple";"MLPTF1";"0.5151250"
"AuNomDuPeuple";"UOIF";"0.5836449"
"AvenirEnCommun";"FranceInsoumise";"0.6290052"
"AvenirEnCommun";"JLM2017";"0.7322449"
"AvenirEnCommun";"JLMFrance2";"0.6087196"
"AvenirEnCommun";"JLMMarseille";"0.6093126"
"AvenirEnCommun";"JLMToulouse";"0.5038818"
"AvenirEnCommun";"LaForceDuPeuple";"0.6548628"
"BeurFM";"MohamedSaou";"0.6252898"
"BHJaures";"BHToulouse";"0.5178503"
"BHJaures";"CoeurBattant";"0.5002136"
"BHJaures";"NotreRepublique";"0.5804445"
"BHRennes";"Hamon2017";"0.6425033"
"BHRennes";"JeVotePour";"0.5428838"
"BHToulouse";"CoeurBattant";"0.5232341"
"BHToulouse";"Hamon2017";"0.6067824"
"BHToulouse";"JeVotePour";"0.5078491"
"BHToulouse";"NosQuartiers";"0.5628813"
"Bretagne";"FinistËre";"0.5604918"
"Cazeneuve";"DangerMacron";"0.5316950"
"ChoisirLaFrance";"DangerMacron";"0.7945635"
"ChoisirLaFrance";"JeVoteMarine";"0.7295385"
"ChoisirLaFrance";"LeVraiFillon";"0.6229894"
"ChoisirLaFrance";"Marine2017";"0.8597962"
"ChoisirLaFrance";"Marine¿Nice";"0.7379130"
"ChoisirLaFrance";"MarineAParis";"0.7214881"
"ChoisirLaFrance";"Marine¿Villepinte";"0.7545063"
"ChoisirLaFrance";"MarseilleMLP";"0.5328369"
"ChoisirLaFrance";"MLPTF1";"0.6414512"
"ChoisirLaFrance";"Pageas";"0.5246139"
"ChoisirLaFrance";"Perpignan";"0.5021380"
"ChoisirLaFrance";"PerpignanMLP";"0.5003358"
"ChoisirLaFrance";"Rungis";"0.5503192"
"ChoisirLaFrance";"UOIF";"0.6146034"
"ChoisirLaFrance";"Villepinte";"0.5122830"
"CoeurBattant";"Hamon2017";"0.6762877"
"CoeurBattant";"JeVotePour";"0.5263139"
"CoeurBattant";"NotreRepublique";"0.6026977"
"concert";"exposition";"0.6281437"
"ConseildeParis";"Paris";"0.5422269"
"DangerMacron";"InvitePol";"0.5280676"
"DangerMacron";"JeVoteMarine";"0.7557912"
"DangerMacron";"LeVraiFillon";"0.7766551"
"DangerMacron";"Marine2017";"0.7123940"
"DangerMacron";"Marine¿Nice";"0.7096086"
"DangerMacron";"MarineAParis";"0.6952854"
"DangerMacron";"Marine¿Villepinte";"0.6632487"
"DangerMacron";"MLPTF1";"0.6069884"
"DangerMacron";"Pageas";"0.5216332"
"DangerMacron";"UOIF";"0.5981515"
"Dijon";"LePenNon";"0.5351779"
"droite";"gauche";"0.6330349"
"DupontAignan";"Fillon";"0.5689563"
"DupontAignan";"LePen";"0.5165640"
"E1Soir";"QuestionsPol";"0.5786438"
"EnMarche";"JeVoteMacron";"0.6642653"
"EnMarche";"Macron2017";"0.5377787"
"EnMarche";"MacronBercy";"0.5169172"
"EnMarche";"MacronPresident";"0.6233643"
"Ensemble";"JeVoteMacron";"0.5543969"
"Ensemble";"MacronPresident";"0.6000069"
"Erdogan";"Turquie";"0.5195696"
"fairebattrelecoeurdelafrance";"Hamon2017";"0.5104896"
"Fillon";"LePen";"0.6435449"
"Fillon";"Macron";"0.6692430"
"Fillon";"MÈlenchon";"0.6637038"
"Fillon2017";"FillonNice";"0.5155775"
"Fillon2017";"FillonParis";"0.5984303"
"Fillon2017";"FillonPresident";"0.5994540"
"Fillon2017";"JeVoteFillon";"0.5469549"
"FillonLille";"FillonLyon";"0.5256765"
"FillonLille";"FillonMarseille";"0.5043691"
"FillonParis";"JeVoteFillon";"0.5138783"
"FillonPresident";"JeVoteFillon";"0.6531296"
