"Hashtag1";"Hashtag2";"Correlation"
"16oct";"GPA";"0.5804165"
"16oct";"LaManifPourTous";"0.5625718"
"16oct";"NePlusSubir";"0.5113379"
"16oct";"ONLR";"0.8975345"
"8h30Aphatie";"ToutPourLaFrance";"0.5213137"
"AccordDeParis";"climat";"0.5491101"
"AccordDeParis";"COP21";"0.6391513"
"AccordDeParis";"SmileForThePlanet";"0.7257954"
"AEM2016";"LaRochelle";"0.6197425"
"AJ2017";"AJBordeaux";"0.5714195"
"AJ2017";"AJToulon";"0.5930956"
"AJ2017";"AvecJuppe";"0.7236721"
"AJ2017";"LE20H";"0.7405321"
"AJ2017";"TousJuppe";"0.7289867"
"AJBordeaux";"AJRennes";"0.5506917"
"AJBordeaux";"TousJuppe";"0.5970028"
"AJRennes";"AJToulon";"0.5368503"
"AJRennes";"TousJuppe";"0.5197446"
"AJToulon";"AvecJuppe";"0.5562884"
"AJToulon";"LE20H";"0.5660196"
"AJToulon";"TousJuppe";"0.6283109"
"asile";"Immigration";"0.5132148"
"AuNomDuPeuple";"JeSoutiensLaPolice";"0.5277931"
"AuNomDuPeuple";"migrants";"0.5893556"
"AvecBLM";"renouveau";"0.6736041"
"AvecJuppe";"LE20H";"0.5989939"
"AvecJuppe";"TousJuppe";"0.7355353"
"AvecNS";"NS2017";"0.5132000"
"AvecNS";"ToutPourLaFrance";"0.7813740"
"C8";"Meyzieu";"0.5351278"
"C8";"ToutPourLaFrance";"0.5088569"
"Caen";"Normandie";"0.5352623"
"Calais";"jungleDeCalais";"0.5000382"
"Calais";"migrants";"0.5326933"
"CàVousNS";"DimPol";"0.5310287"
"CàVousNS";"NSinter";"0.5473351"
"CETA";"TAFTA";"0.6646055"
"climat";"COP22";"0.6343225"
"climat";"ParisAgreement";"0.5729677"
"Clinton";"ElectionNight";"0.5601558"
"Clinton";"Trump";"0.7395328"
"ConseildeParis";"Paris";"0.6269731"
"ConseildeParis";"stationnement";"0.5491737"
"COP21";"ParisAgreement";"0.5414844"
"COP21";"SmileForThePlanet";"0.6856373"
"DirectAN";"PLF2017";"0.6245671"
"directsénat";"Sénat";"0.5050414"
"droite";"PrendsGarde";"0.5479708"
"E1Juppé";"Europe1";"0.6471208"
"E1Juppé";"LE20H";"0.5288105"
"E1NS";"NSinter";"0.5029094"
"E1NS";"Punchline";"0.5106735"
"Election2016";"ElectionNight";"0.5523142"
"ElectionDay";"ElectionNight";"0.5133176"
"ElectionNight";"Trump";"0.6430645"
"Estrosi";"PACA";"0.5629559"
"Fillon";"Fillon2017";"0.6087838"
"Fillon";"FillonGagnant";"0.5734164"
"Fillon";"LEmissionPolitique";"0.5740019"
"Fillon2017";"FillonGagnant";"0.8323767"
"Fillon2017";"LEmissionPolitique";"0.5026071"
"FillonGagnant";"LEmissionPolitique";"0.5240834"
"FN";"migrants";"0.5158264"
"FranceInsoumise";"JLM2017";"0.8244751"
"FranceInsoumise";"RMC";"0.5793605"
"Fréjus";"racisme";"0.6136512"
"Fréjus";"sexisme";"0.5373137"
"Goodyear";"JLM2017";"0.5615294"
"GPA";"ONLR";"0.5974144"
"Hollande";"PS";"0.5179291"
"Hollande";"Valls";"0.6418126"
"innovation";"startup";"0.5431009"
"Irak";"Mossoul";"0.6012652"
"Islam";"LoiTaubira";"0.5811909"
"itele";"JeSoutiensItele";"0.6225855"
"JeSoutiensLaPolice";"ManifPolice";"0.5983649"
"JeSoutiensLaPolice";"migrants";"0.5358872"
"JFPoisson";"Poisson";"0.6430458"
"JLM2017";"Mélenchon";"0.5250018"
"JLM2017";"RMC";"0.5379953"
"Juppé";"Sarkozy";"0.5147861"
"LaBAP";"PrendsGarde";"0.5435131"
"LaBAP";"Tours";"0.5839148"
"LaBAP";"UE";"0.6576273"
"LaBAP";"UEBAP";"0.5184233"
"LaBAP";"UEngagement";"0.7373948"
"LaManifPourTous";"ONLR";"0.5351912"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5586728"
"LE20H";"TousJuppe";"0.5855119"
"Loire";"SaintEtienne";"0.8205900"
"MadeInFrance";"Montebourg";"0.5112102"
"ManifPolice";"PoliciersEnColere";"0.5681034"
"Meyzieu";"ToutPourLaFrance";"0.5969753"
"migrants";"Trump";"0.5045272"
"Nice06";"PACA";"0.5275798"
"NS2017";"ToutPourLaFrance";"0.5563894"
"NSinter";"ToutPourLaFrance";"0.5571532"
"NSMarseille";"NSToulon";"0.5473775"
"NSMarseille";"ToutPourLaFrance";"0.5771496"
"NSToulon";"ToutPourLaFrance";"0.5037258"
"Paris";"stationnement";"0.5091525"
"ParisAgreement";"SmileForThePlanet";"0.5037124"
"PrendsGarde";"UEngagement";"0.6028423"
"Primaire";"Primaire2016";"0.6042062"
"Punchline";"ToutPourLaFrance";"0.5152815"
"racisme";"sexisme";"0.7016913"
"Tours";"UEBAP";"0.6996708"
"Tours";"UEngagement";"0.5309028"
"UEBAP";"UEngagement";"0.5506825"
"Vendée";"VG2016";"0.5351360"
