"Hashtag1";"Hashtag2";"Correlation"
"AJ2017";"AJNancy";"0.5501394"
"AJ2017";"AJToulouse";"0.5019019"
"AJ2017";"AJZenith";"0.6696940"
"AJ2017";"JeVoteJuppé";"0.5429391"
"AJ2017";"JuppéGagnant";"0.5988381"
"AJ2017";"JuppéPrésidentCest";"0.6362212"
"AJ2017";"VivementJuppe";"0.6688023"
"AJLille";"AJNancy";"0.5332442"
"AJLille";"AJZenith";"0.5003505"
"AJLille";"JeVoteJuppé";"0.5116470"
"AJNancy";"AJToulouse";"0.5401548"
"AJNancy";"AJZenith";"0.5069415"
"AJNancy";"JuppéPrésidentCest";"0.5236649"
"AJNancy";"LE20H";"0.6603489"
"AJToulouse";"JuppéPrésidentCest";"0.6190682"
"AJToulouse";"VivementJuppe";"0.5192472"
"AJZenith";"VivementJuppe";"0.6307650"
"Alep";"Syrie";"0.5560977"
"ANOC";"ANOCGA2016";"0.8986806"
"ANOC";"Paris2024";"0.7504076"
"ANOCGA2016";"CitiesForLife";"0.5136997"
"ANOCGA2016";"Paris2024";"0.7813664"
"AuNomDuPeuple";"ConventionMLP";"0.6839645"
"AuNomDuPeuple";"DimanchePolitique";"0.6371505"
"AuNomDuPeuple";"LaRéunion";"0.5925075"
"AuNomDuPeuple";"LeGrandJury";"0.5076164"
"AuNomDuPeuple";"LeVraiFillon";"0.5826429"
"AuNomDuPeuple";"Marine2017";"0.5094788"
"AuNomDuPeuple";"Mayotte";"0.7680386"
"AuNomDuPeuple";"migrants";"0.5217527"
"AuNomDuPeuple";"MLPTF1";"0.6913614"
"AuNomDuPeuple";"referendumcostituzionale";"0.5175936"
"AuNomDuPeuple";"SalonDuCheval";"0.6186421"
"AvecNS";"NSNice";"0.6124858"
"AvecNS";"NSNimes";"0.5623502"
"AvecNS";"NSRTL";"0.5311559"
"AvecNS";"ToutPourLaFrance";"0.8073386"
"Béziers";"migrants";"0.5007485"
"Castro";"Royal";"0.5373629"
"Cazeneuve";"Valls";"0.5295008"
"CeQuiNousRassemble";"Valls2017";"0.7452754"
"circulationalternee";"pollution";"0.6568981"
"Cities4Climate";"CitiesForLife";"0.7414516"
"CitiesForLife";"Paris2024";"0.5371067"
"CitiesForLife";"StopPollution";"0.5610723"
"climat";"COP22";"0.5251766"
"ConventionBAP";"LaBAP";"0.5596047"
"ConventionBAP";"PrendsGarde";"0.5169201"
"ConventionMLP";"DimanchePolitique";"0.5886229"
"ConventionMLP";"LaRéunion";"0.5341882"
"ConventionMLP";"LeVraiFillon";"0.5245842"
"ConventionMLP";"Marine2017";"0.5853635"
"ConventionMLP";"Mayotte";"0.6577433"
"ConventionMLP";"MLPOutremer";"0.5458246"
"ConventionMLP";"MLPTF1";"0.5628529"
"ConventionMLP";"SalonDuCheval";"0.5825032"
"DelitDentraveIVG";"IVG";"0.5745148"
"Dijon";"UEngagement";"0.5030079"
"DimanchePolitique";"LaRéunion";"0.6065901"
"DimanchePolitique";"Marine2017";"0.5209622"
"DimanchePolitique";"Mayotte";"0.6587997"
"DimanchePolitique";"MLPOutremer";"0.7268511"
"DimanchePolitique";"MLPTF1";"0.5127290"
"DimanchePolitique";"SalonDuCheval";"0.5632996"
"DirectAN";"QAG";"0.5087363"
"droite";"gauche";"0.5055100"
"EnMarche";"revolutionenmarche";"0.6028556"
"Fillon";"Juppé";"0.6308410"
"Fillon";"Sarkozy";"0.6206615"
"Fillon";"Valls";"0.5043161"
"Fillon2017";"FillonGagnant";"0.5013619"
"FillonGagnant";"JeVoteFillon";"0.5372368"
"France3";"FranceInter";"0.5767484"
"FranceInsoumise";"JLM2017";"0.7252669"
"FranceInter";"QuestionsPol";"0.5961858"
"Hamon2017";"LEmissionPolitique";"0.6568767"
"HéninBeaumont";"LeVraiFillon";"0.5260882"
"HéninBeaumont";"Mayotte";"0.5310867"
"Hollande";"Macron";"0.5683157"
"Hollande";"PrimaireDroite";"0.5281563"
"Hollande";"Sarkozy";"0.5123923"
"Hollande";"Valls";"0.5715587"
"innovation";"startup";"0.5284973"
"ISF";"JLM2017";"0.5479949"
"JeVoteJuppé";"JuppéPrésidentCest";"0.5307874"
"JLM2017";"Mélenchon";"0.5048337"
"JLM2017";"Obsinsoumis";"0.6737758"
"JuppéGagnant";"JuppéPrésidentCest";"0.6509177"
"JuppéPrésidentCest";"VivementJuppe";"0.5415683"
"LaBAP";"PrendsGarde";"0.5084794"
"LaRéunion";"LeGrandJury";"0.5135056"
"LaRéunion";"LeVraiFillon";"0.5306768"
"LaRéunion";"Mayotte";"0.7142235"
"LaRéunion";"MLPOutremer";"0.6196765"
"LaRéunion";"SalonDuCheval";"0.5611960"
"LeDirectFerrari";"Les4Vérités";"0.5457777"
"LeGrandJury";"MLPTF1";"0.5100546"
"LeVraiFillon";"Mayotte";"0.5725491"
"LeVraiFillon";"migrants";"0.5185542"
"LeVraiFillon";"MLPTF1";"0.5141766"
"LeVraiFillon";"SalonDuCheval";"0.5402049"
"MadeInFrance";"MIFexpo";"0.5180936"
"Marine2017";"Mayotte";"0.5560069"
"Marine2017";"MLPOutremer";"0.5081769"
"Mayotte";"MLPOutremer";"0.6923213"
"Mayotte";"outremer";"0.5215780"
"Mayotte";"referendumcostituzionale";"0.5567200"
"Mayotte";"SalonDuCheval";"0.5760285"
"Noël";"Telethon2016";"0.5543701"
"Normandie";"Rouen";"0.5955912"
"NS2017";"ToutPourLaFrance";"0.5857093"
"NSNice";"NSNimes";"0.6211799"
