"Hashtag1";"Hashtag2";"Correlation"
"19eme";"Paris19";"0.6063814"
"6eRepublique";"FranceInsoumise";"0.6522506"
"6eRepublique";"JLM2017";"0.5306762"
"8h30Aphatie";"franceinfo";"0.5638111"
"Alfortville";"JeVoteValls";"0.7011580"
"Alfortville";"Valls2017";"0.6237631"
"AuNomDuPeuple";"Calais";"0.5800142"
"AuNomDuPeuple";"Koblenz";"0.5771302"
"AuNomDuPeuple";"LeVraiFillon";"0.7438781"
"AuNomDuPeuple";"Marine2017";"0.8868844"
"AuNomDuPeuple";"migrants";"0.5966623"
"AuNomDuPeuple";"MLPTF1";"0.7646618"
"AuNomDuPeuple";"QDI";"0.5282382"
"AvecMV";"AvecValls";"0.5661653"
"AvecMV";"JeVoteValls";"0.5191246"
"AvecMV";"Liévin";"0.5262516"
"AvecMV";"Valls2017";"0.6996336"
"AvecMV";"VallsParis";"0.5056225"
"AvecPeillon";"ONPC";"0.6537262"
"AvecPeillon";"Peillon";"0.5091039"
"AvecPeillon";"peillon2017";"0.9146278"
"AvecValls";"JeVoteValls";"0.5142273"
"AvecValls";"Valls2017";"0.6389062"
"AvecValls";"VallsParis";"0.5713166"
"benoithamon2017";"Hamon2017";"0.5835087"
"Berlin";"VoeuxFillon";"0.5004541"
"Bretagne";"Morbihan";"0.5006137"
"Bretagne";"VG2016";"0.5403773"
"Brexit";"Europe";"0.5257202"
"Brexit";"UE";"0.5094425"
"Budget2017";"DirectIDF";"0.5947020"
"BudgetIDF";"TransportsIDF";"0.5024784"
"Calais";"migrants";"0.6191357"
"Calais";"MLPTF1";"0.5263515"
"Clermont";"Valls2017";"0.5323364"
"ClermontFerrand";"ConfDePresse";"0.5082821"
"ClermontFerrand";"Montpellier";"0.5013012"
"ClermontFerrand";"RevenuUniversel";"0.5625163"
"CNlesRépublicains";"Fillon2017";"0.5644069"
"CNlesRépublicains";"FillonLaVillette";"0.6062130"
"ConfDePresse";"QuestionsPol";"0.6715074"
"ConfDePresse";"RevenuUniversel";"0.5542862"
"Conferasmus";"Erasmus";"0.5998924"
"Conferasmus";"ErasmusPlus";"0.6649358"
"ConseildeParis";"Paris";"0.5546304"
"DelitDentraveIVG";"IVG";"0.5082583"
"E1Primaire";"E1Soir";"0.5077243"
"EnMarche";"LaMajoritéEnMarche";"0.5338342"
"Fillon";"Hamon";"0.5208047"
"Fillon";"Macron";"0.5929127"
"Fillon";"PenelopeGate";"0.6709977"
"Fillon2017";"FillonLaVillette";"0.6540746"
"FillonCharleville";"Séguin";"0.5588945"
"FillonNice";"Séguin";"0.5310988"
"FillonNice";"VoeuxFillon";"0.5609880"
"Forbach";"Koblenz";"0.6330549"
"Forbach";"QDI";"0.5572820"
"FranceInsoumise";"JLM2017";"0.6195000"
"FranceInsoumise";"LCI";"0.6043993"
"FRANOR";"Handball2017";"0.6359654"
"Hamon";"Macron";"0.5798141"
"Hamon";"Mélenchon";"0.5277867"
"Hamon";"PrimaireGauche";"0.5314523"
"Hamon";"PrimairesGauche";"0.5829371"
"Hamon";"PS";"0.5200657"
"Hamon";"Valls";"0.7182445"
"Hamon2017";"INJ";"0.6530091"
"Hamon2017";"RevenuUniversel";"0.6348112"
"Hamon2017";"RUE";"0.6299765"
"Handball2017";"PhenomenalHandball";"0.6473427"
"Hollande";"Macron";"0.5153600"
"INJ";"RevenuUniversel";"0.6207221"
"interactiv";"le79inter";"0.5586324"
"InvitePol";"QDI";"0.5188399"
"Israel";"Jerusalem";"0.5186268"
"Jaures";"Montebourg";"0.6038319"
"Jaures";"Montebourg2017";"0.7346731"
"JeChoisisMarine";"Marine2017";"0.5204849"
"JeVoteValls";"Valls2017";"0.7320696"
"JeVoteValls";"VallsParis";"0.5169231"
"JeVoteValls";"VallsTF1";"0.5502726"
"JLM2017";"LCI";"0.5017633"
"Koblenz";"LeVraiFillon";"0.5386535"
"Koblenz";"Marine2017";"0.5673014"
"Koblenz";"MLPTF1";"0.6160269"
"Koblenz";"QDI";"0.6338389"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5455923"
"LCI";"primairePS";"0.5142369"
"LeVraiFillon";"Marine2017";"0.7229487"
"LeVraiFillon";"MLPTF1";"0.6697385"
"Liévin";"Valls2017";"0.5686663"
"Liévin";"VallsParis";"0.5020631"
"Macron";"Valls";"0.5115461"
"Marine2017";"MLPTF1";"0.7565176"
"MLPTF1";"QDI";"0.5641135"
"Montebourg";"Montebourg2017";"0.6224982"
"Montpellier";"RevenuUniversel";"0.5486461"
"neige";"verglas";"0.7292454"
"ONPC";"peillon2017";"0.6910918"
"Paris2024";"Sharing";"0.7673710"
"Peillon";"peillon2017";"0.5136944"
"peillon2017";"PeillonLibé";"0.5119402"
"PenelopeFillon";"PenelopeGate";"0.6132325"
"Pinel";"Pinel2017";"0.6432383"
"Pinel";"PRG";"0.5703310"
"Pinel2017";"PRG";"0.6006608"
"Pinel2017";"SylviaPinel";"0.6178958"
"PrimaireGauche";"PrimairesGauche";"0.5715092"
"QuestionsPol";"RevenuUniversel";"0.5941230"
"STIF";"TransportsIDF";"0.6099888"
"Valls2017";"VallsParis";"0.6661737"
"Valls2017";"VallsTF1";"0.5509274"
"VendeeGlobe";"VG2016";"0.5553355"
