"Hashtag1";"Hashtag2";"Correlation"
"19eme";"Paris19";"0.5900203"
"6eRepublique";"FranceInsoumise";"0.6390855"
"6eRepublique";"JLM2017";"0.5216461"
"8h30Aphatie";"franceinfo";"0.5613436"
"Alfortville";"JeVoteValls";"0.7027202"
"Alfortville";"Valls2017";"0.6012789"
"AssisesMLP";"AuNomDuPeuple";"0.6947105"
"AssisesMLP";"Koblenz";"0.5232827"
"AssisesMLP";"LeVraiFillon";"0.6191341"
"AssisesMLP";"Marine2017";"0.7170993"
"AssisesMLP";"MLPTF1";"0.6531007"
"AuNomDuPeuple";"JeChoisisMarine";"0.5181310"
"AuNomDuPeuple";"Koblenz";"0.5883795"
"AuNomDuPeuple";"LeVraiFillon";"0.7732239"
"AuNomDuPeuple";"Marine2017";"0.8835862"
"AuNomDuPeuple";"migrants";"0.5105931"
"AuNomDuPeuple";"MLPTF1";"0.7238998"
"AuNomDuPeuple";"QDI";"0.5271658"
"AvecMV";"AvecValls";"0.5614437"
"AvecMV";"JeVoteValls";"0.5203355"
"AvecMV";"Valls2017";"0.6734696"
"AvecPeillon";"ONPC";"0.6420366"
"AvecPeillon";"Peillon";"0.5461355"
"AvecPeillon";"peillon2017";"0.9141507"
"AvecValls";"JeVoteValls";"0.5146965"
"AvecValls";"Valls2017";"0.6131053"
"AvecValls";"VallsParis";"0.5400207"
"benoithamon2017";"Hamon2017";"0.5653500"
"Berlin";"VoeuxFillon";"0.5108186"
"Bretagne";"VG2016";"0.5168468"
"Brexit";"Europe";"0.5163307"
"Budget2017";"DirectIDF";"0.6198869"
"BudgetIDF";"TransportsIDF";"0.5422496"
"Calais";"migrants";"0.5678374"
"Clermont";"Valls2017";"0.5163834"
"ClermontFerrand";"ConfDePresse";"0.5423513"
"ClermontFerrand";"INJ";"0.5212300"
"ClermontFerrand";"Montpellier";"0.5439812"
"ClermontFerrand";"RevenuUniversel";"0.5975825"
"CNlesRépublicains";"Fillon2017";"0.5620166"
"CNlesRépublicains";"FillonLaVillette";"0.5858301"
"ConfDePresse";"QuestionsPol";"0.6652868"
"ConfDePresse";"RevenuUniversel";"0.5476412"
"Conferasmus";"Erasmus";"0.5867931"
"Conferasmus";"ErasmusPlus";"0.6730812"
"ConseildeParis";"Paris";"0.5368406"
"CritAir";"pollution";"0.5305722"
"E1Primaire";"E1Soir";"0.5355709"
"EnMarche";"MacronLyon";"0.5051575"
"Fillon";"Hamon";"0.5103203"
"Fillon";"Macron";"0.6109647"
"Fillon";"PenelopeGate";"0.6975628"
"Fillon2017";"FillonLaVillette";"0.6464439"
"FillonCharleville";"Séguin";"0.5326325"
"FillonGate";"PenelopeFillon";"0.5291908"
"FillonGate";"PenelopeGate";"0.5042084"
"FillonNice";"Séguin";"0.5289821"
"FillonNice";"VoeuxFillon";"0.5220733"
"Forbach";"Koblenz";"0.5674040"
"FranceInsoumise";"JLM2017";"0.6374069"
"FranceInsoumise";"LCI";"0.6111480"
"FRANOR";"Handball2017";"0.6201041"
"Hamon";"Macron";"0.6135770"
"Hamon";"Mélenchon";"0.5253827"
"Hamon";"PrimairesGauche";"0.5832892"
"Hamon";"PS";"0.5411133"
"Hamon";"Valls";"0.7041398"
"Hamon2017";"INJ";"0.6514442"
"Hamon2017";"RevenuUniversel";"0.6348371"
"Hamon2017";"RUE";"0.6290663"
"Handball2017";"PhenomenalHandball";"0.6283938"
"Hollande";"Macron";"0.5153747"
"INJ";"RevenuUniversel";"0.6084508"
"interactiv";"le79inter";"0.5663707"
"Israel";"Jerusalem";"0.5164858"
"Jaures";"Montebourg";"0.6072382"
"Jaures";"Montebourg2017";"0.7320731"
"JeChoisisMarine";"Marine2017";"0.5091103"
"JeVoteValls";"Valls2017";"0.7386774"
"JeVoteValls";"VallsParis";"0.5308786"
"JeVoteValls";"VallsTF1";"0.5569401"
"JLM2017";"LCI";"0.5624725"
"Koblenz";"LeVraiFillon";"0.5440999"
"Koblenz";"Marine2017";"0.5932633"
"Koblenz";"MLPTF1";"0.6440498"
"Koblenz";"QDI";"0.6151206"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5336377"
"LeVraiFillon";"Marine2017";"0.7034176"
"LeVraiFillon";"MLPTF1";"0.5881420"
"Liévin";"Valls2017";"0.5263578"
"Louvre";"Sentinelle";"0.5052850"
"Macron";"Valls";"0.5436062"
"Marine2017";"MLPTF1";"0.7318732"
"MLPTF1";"QDI";"0.5870322"
"Montebourg";"Montebourg2017";"0.6299115"
"Montpellier";"RevenuUniversel";"0.5554681"
"ONPC";"Peillon";"0.5345316"
"ONPC";"peillon2017";"0.6778403"
"Paris2024";"Sharing";"0.7331887"
"Peillon";"peillon2017";"0.5522100"
"peillon2017";"PeillonLibé";"0.5131582"
"PenelopeFillon";"PenelopeGate";"0.6323399"
"Pinel";"Pinel2017";"0.6324255"
"Pinel";"PRG";"0.5547355"
"Pinel2017";"PRG";"0.5476689"
"Pinel2017";"SylviaPinel";"0.5734418"
"PrimaireGauche";"PrimairesGauche";"0.5480892"
"QuestionsPol";"RevenuUniversel";"0.5812101"
"Sénat";"Senat360";"0.5057502"
"STIF";"TransportsIDF";"0.6641485"
"Valls2017";"VallsParis";"0.6660966"
"Valls2017";"VallsTF1";"0.5370639"
"VendeeGlobe";"VG2016";"0.5511583"
