"Hashtag1";"Hashtag2";"Correlation"
"16oct";"GPA";"0.5832407"
"16oct";"LaManifPourTous";"0.5898189"
"16oct";"NePlusSubir";"0.5141107"
"16oct";"ONLR";"0.9069370"
"19h20h";"BFMPolitique";"0.6102036"
"8h30Aphatie";"ToutPourLaFrance";"0.5130725"
"AccordDeParis";"climat";"0.5793980"
"AccordDeParis";"COP21";"0.6249606"
"AccordDeParis";"ParisAgreement";"0.5344742"
"AccordDeParis";"SmileForThePlanet";"0.7231432"
"AJ2017";"AJToulon";"0.5776904"
"AJ2017";"AvecJuppe";"0.7399923"
"AJ2017";"TousJuppe";"0.7242911"
"AJRennes";"AJToulon";"0.5137210"
"AJRennes";"AvecJuppe";"0.5284741"
"AJRennes";"TousJuppe";"0.5029018"
"AJToulon";"AvecJuppe";"0.5551172"
"AJToulon";"TousJuppe";"0.5767425"
"AuNomDuPeuple";"JeSoutiensLaPolice";"0.5592652"
"AuNomDuPeuple";"migrants";"0.5452151"
"AvecBLM";"renouveau";"0.6866080"
"AvecJuppe";"E1Juppé";"0.5306829"
"AvecJuppe";"TousJuppe";"0.6884090"
"AvecNS";"NS2017";"0.5549706"
"AvecNS";"NSZenith";"0.5071738"
"AvecNS";"ToutPourLaFrance";"0.7752859"
"AvecNS";"Zenith";"0.5634989"
"Bayrou";"Juppé";"0.5829709"
"Béziers";"Ménard";"0.5572620"
"BourdinDirect";"ToutPourLaFrance";"0.5044283"
"Caen";"Normandie";"0.5211463"
"Calais";"jungleDeCalais";"0.5208793"
"Calais";"migrants";"0.5730271"
"CETA";"TAFTA";"0.6613884"
"climat";"COP21";"0.5334027"
"climat";"COP22";"0.6756753"
"climat";"ParisAgreement";"0.6727890"
"Clinton";"Trump";"0.7633993"
"CNPCF";"PCF";"0.6222606"
"COP21";"ParisAgreement";"0.5732666"
"COP21";"SmileForThePlanet";"0.6471060"
"COP22";"ParisAgreement";"0.5155823"
"DirectAN";"PLF2017";"0.5962206"
"droite";"PrendsGarde";"0.5317015"
"Duflot";"PrimaireEELV";"0.5152263"
"E1Juppé";"Europe1";"0.6080794"
"E1NS";"NSinter";"0.5139419"
"EELV";"PrimaireEELV";"0.5235304"
"Estrosi";"PACA";"0.6407770"
"Fillon";"Fillon2017";"0.6243619"
"Fillon";"FillonGagnant";"0.5784969"
"Fillon";"LEmissionPolitique";"0.5415031"
"Fillon2017";"FillonGagnant";"0.8257565"
"Fillon2017";"LEmissionPolitique";"0.5454649"
"FillonGagnant";"LEmissionPolitique";"0.5313877"
"FranceInsoumise";"JLM2017";"0.8103642"
"Fréjus";"racisme";"0.5167986"
"Goodyear";"JLM2017";"0.5836718"
"GPA";"ONLR";"0.5081164"
"GrandParis";"Inventonslametropole";"0.5966913"
"Hollande";"Valls";"0.5982848"
"itele";"JeSoutiensItele";"0.5565660"
"JeSoutiensLaPolice";"ManifPolice";"0.5484457"
"JeSoutiensLaPolice";"migrants";"0.5174817"
"JFPoisson";"Poisson";"0.6466961"
"Juppé";"Sarkozy";"0.5416286"
"LaBAP";"PrendsGarde";"0.5308604"
"LaBAP";"Tours";"0.5649778"
"LaBAP";"UE";"0.6420868"
"LaBAP";"UEngagement";"0.7494538"
"LaManifPourTous";"LMPT";"0.5064075"
"LaManifPourTous";"ONLR";"0.5758321"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5497451"
"LCI";"RTL";"0.6038509"
"Loire";"SaintEtienne";"0.8095257"
"MadeInFrance";"Montebourg";"0.5777062"
"ManifPolice";"PoliciersEnColere";"0.6263411"
"NS2017";"ToutPourLaFrance";"0.6061570"
"NSinter";"ToutPourLaFrance";"0.6129271"
"NSMarseille";"NSToulon";"0.5635118"
"NSMarseille";"NSZenith";"0.5008060"
"NSMarseille";"ToutPourLaFrance";"0.5996894"
"NSZenith";"ToutPourLaFrance";"0.7729083"
"NSZenith";"Zenith";"0.6042054"
"ParisAgreement";"SmileForThePlanet";"0.5405116"
"Poutine";"Syrie";"0.5284192"
"PrendsGarde";"UEngagement";"0.5585329"
"Primaire";"Primaire2016";"0.5886058"
"Tours";"UEBAP";"0.6878909"
"ToutPourLaFrance";"Zenith";"0.6972946"
"UEBAP";"UEngagement";"0.5022045"
"Vendée";"VG2016";"0.5582849"
