"Hashtag1";"Hashtag2";"Correlation"
"16oct";"GPA";"0.5791792"
"16oct";"LaManifPourTous";"0.5913665"
"16oct";"LMPT";"0.5422605"
"16oct";"LoiTaubira";"0.5298722"
"16oct";"NePlusSubir";"0.6171957"
"16oct";"ONLR";"0.9258197"
"19h20h";"BFMPolitique";"0.6016036"
"19h20h";"Les4Vérités";"0.5247768"
"AccordDeParis";"climat";"0.5088552"
"AccordDeParis";"COP21";"0.5822313"
"AccordDeParis";"ParisAgreement";"0.6175617"
"AJ2017";"AJToulon";"0.6083882"
"AJ2017";"AvecJuppe";"0.7105066"
"AJ2017";"JeunesAJ";"0.6809019"
"AJ2017";"LEP";"0.5195577"
"AJRennes";"AJToulon";"0.5228522"
"AJRennes";"JeunesAJ";"0.5056795"
"AJToulon";"JeunesAJ";"0.6955885"
"AJToulon";"LEP";"0.5220962"
"Alep";"Syrie";"0.5493394"
"AvecBLM";"renouveau";"0.7165688"
"AvecJuppe";"JeunesAJ";"0.6220906"
"AvecJuppe";"LEP";"0.5416860"
"AvecNS";"NSMarseille";"0.5075581"
"AvecNS";"Punchline";"0.5128414"
"AvecNS";"ToutPourLaFrance";"0.7148182"
"AvecNS";"Zenith";"0.6010841"
"Béziers";"Ménard";"0.5733101"
"BFMPolitique";"Les4Vérités";"0.6330665"
"BourdinDirect";"ToutPourLaFrance";"0.5275654"
"C8";"Montauban";"0.5154248"
"C8";"NSMarseille";"0.5120719"
"Calais";"jungleDeCalais";"0.5112794"
"Calais";"migrants";"0.5214064"
"CancerDuSein";"OctobreRose";"0.5517049"
"CàVousNS";"ToutPourLaFrance";"0.5102677"
"Cazeneuve";"Hollande";"0.5130577"
"CETA";"TAFTA";"0.6303835"
"Clinton";"Trump";"0.7519257"
"concert";"theatre";"0.5426321"
"COP21";"ParisAgreement";"0.6324773"
"CzarnyProtest";"IVG";"0.5875874"
"CzarnyProtest";"Pologne";"0.5029766"
"DimPol";"Montebourg";"0.5767069"
"DirectAN";"PLF2017";"0.5394201"
"droite";"gauche";"0.5031970"
"E1Juppé";"Europe1";"0.6029573"
"E1Juppé";"JeunesAJ";"0.5289071"
"E1NS";"ToutPourLaFrance";"0.5105630"
"Ecopla";"JLM2017";"0.5226550"
"EELV";"PrimaireEELV";"0.5063537"
"EgalitéCitoyenneté";"Sénat";"0.6687693"
"Fillon";"Fillon2017";"0.5684162"
"Fillon";"FillonGagnant";"0.5638786"
"Fillon2017";"FillonGagnant";"0.7599862"
"Fillon2017";"Vérité";"0.7388758"
"FillonGagnant";"Vérité";"0.5239688"
"FN";"migrants";"0.5207029"
"Fréjus";"racisme";"0.5660995"
"Fréjus";"sexisme";"0.5191227"
"Goodyear";"JLM2017";"0.5955488"
"GPA";"ONLR";"0.5410410"
"GrandParis";"Inventonslametropole";"0.5863364"
"Hollande";"Juppé";"0.5040550"
"Hollande";"Valls";"0.5878699"
"JeSoutiensLaPolice";"ManifPolice";"0.6123466"
"JeunesAJ";"LEP";"0.6563589"
"JFPoisson";"Poisson";"0.5504255"
"Juppé";"Sarkozy";"0.5781783"
"LaBAP";"PrendsGarde";"0.5229415"
"LaBAP";"Tours";"0.6182288"
"LaBAP";"UE";"0.7102301"
"LaBAP";"UEngagement";"0.6809526"
"LaManifPourTous";"LMPT";"0.5008415"
"LaManifPourTous";"ONLR";"0.5758921"
"LCI";"RTL";"0.5922231"
"LEmissionPolitique";"LEP";"0.5107670"
"LMPT";"ONLR";"0.5559919"
"Loire";"SaintEtienne";"0.8143408"
"LoiTaubira";"ONLR";"0.5210709"
"ManifPolice";"PoliciersEnColere";"0.5157541"
"Ménard";"PACA";"0.5245913"
"NePlusSubir";"ONLR";"0.5143764"
"NotreBudget";"Paris10";"0.5472562"
"NotreBudget";"SCMR";"0.5924070"
"NS2017";"ToutPourLaFrance";"0.5505526"
"NS20H";"NSZenith";"0.5085681"
"NS20H";"ToutPourLaFrance";"0.6343676"
"NSinter";"NSZenith";"0.5123070"
"NSinter";"ToutPourLaFrance";"0.5792326"
"NSMarseille";"NSToulon";"0.5556770"
"NSMarseille";"NSZenith";"0.5232602"
"NSMarseille";"ToutPourLaFrance";"0.6039077"
"NSZenith";"ToutPourLaFrance";"0.8131928"
"NSZenith";"Zenith";"0.6227528"
"Paris10";"SCMR";"0.7193228"
"PrendsGarde";"UEngagement";"0.5626744"
"Primaire";"Primaire2016";"0.6479656"
"Punchline";"ToutPourLaFrance";"0.5099678"
"racisme";"sexisme";"0.6357793"
"Tours";"UEBAP";"0.6392231"
"Tours";"UEngagement";"0.5626354"
"ToutPourLaFrance";"Zenith";"0.7555923"
"UEBAP";"UEngagement";"0.5582548"
