"Hashtag1";"Hashtag2";"Correlation"
"19hRuthElkrief";"JT20h";"0.5352347"
"19RuthElkrief";"ChoisirLaFrance";"0.5474826"
"19RuthElkrief";"InvitePol";"0.6282168"
"19RuthElkrief";"LeTalk";"0.5099353"
"19RuthElkrief";"Marine¿Nice";"0.5428358"
"19RuthElkrief";"MLPTF1";"0.6224331"
"19RuthElkrief";"Pageas";"0.5900247"
"19RuthElkrief";"PerpignanMLP";"0.5955036"
"6moisBH";"CoeurBattant";"0.5592352"
"6moisBH";"Hamon2017";"0.5019283"
"Ajaccio";"AjaccioMLP";"0.5010578"
"Ajaccio";"AuNomDuPeuple";"0.5358290"
"Ajaccio";"ChoisirLaFrance";"0.5555362"
"Ajaccio";"DangerMacron";"0.5577747"
"Ajaccio";"Marine2017";"0.5597908"
"Ajaccio";"Marine¿Nice";"0.5714638"
"Ajaccio";"MarineAParis";"0.5543149"
"Ajaccio";"MarseilleMLP";"0.5106143"
"AjaccioMLP";"Marine¿Nice";"0.5201645"
"Amiens";"Whirlpool";"0.5485267"
"ArcisSurAube";"ChoisirLaFrance";"0.5029744"
"ArcisSurAube";"DangerMacron";"0.5391075"
"ArcisSurAube";"InvitePol";"0.5265717"
"ArcisSurAube";"Marine2017";"0.5051359"
"ArcisSurAube";"Pageas";"0.6289781"
"AuNomDuPeuple";"AvecMarine";"0.5556188"
"AuNomDuPeuple";"ChoisirLaFrance";"0.8315598"
"AuNomDuPeuple";"DangerMacron";"0.6571742"
"AuNomDuPeuple";"JeVoteMarine";"0.6817701"
"AuNomDuPeuple";"LeVraiFillon";"0.5349748"
"AuNomDuPeuple";"Marine2017";"0.8522525"
"AuNomDuPeuple";"Marine¿Nice";"0.5902908"
"AuNomDuPeuple";"MarineAParis";"0.6837322"
"AuNomDuPeuple";"Marine¿Villepinte";"0.5967431"
"AuNomDuPeuple";"MarinePrÈsidente";"0.5425345"
"AuNomDuPeuple";"MarseilleMLP";"0.6435925"
"AuNomDuPeuple";"Pageas";"0.5381756"
"AuNomDuPeuple";"UOIF";"0.6247328"
"AvecMarine";"ChoisirLaFrance";"0.5189729"
"AvecMarine";"Marine2017";"0.5583412"
"AvecMarine";"MarineAParis";"0.5607461"
"AvecMarine";"MarinePrÈsidente";"0.5271211"
"AvenirEnCommun";"FiscalKombat";"0.6039826"
"AvenirEnCommun";"FranceInsoumise";"0.6509787"
"AvenirEnCommun";"JLM2017";"0.7228317"
"AvenirEnCommun";"JLMFrance2";"0.5675664"
"AvenirEnCommun";"JLMMarseille";"0.5464471"
"AvenirEnCommun";"JoursHeureux";"0.5376706"
"AvenirEnCommun";"LaForceDuPeuple";"0.5922646"
"Bercy";"MacronPresident";"0.5147258"
"BeurFM";"MohamedSaou";"0.6927958"
"BHJaures";"BHToulouse";"0.5215097"
"BHJaures";"NotreRepublique";"0.5616445"
"BHRennes";"Hamon2017";"0.6172591"
"BHRennes";"JeVotePour";"0.5563116"
"BHToulouse";"Hamon2017";"0.5694875"
"BHToulouse";"NosQuartiers";"0.5094657"
"ChoisirLaFrance";"DangerMacron";"0.6846105"
"ChoisirLaFrance";"JeChoisisMarine";"0.5082658"
"ChoisirLaFrance";"JeVoteMarine";"0.6818787"
"ChoisirLaFrance";"LeVraiFillon";"0.6007340"
"ChoisirLaFrance";"Marine2017";"0.8683768"
"ChoisirLaFrance";"Marine¿Nice";"0.7065038"
"ChoisirLaFrance";"MarineAParis";"0.6870060"
"ChoisirLaFrance";"Marine¿Villepinte";"0.7005257"
"ChoisirLaFrance";"MarinePrÈsidente";"0.5830546"
"ChoisirLaFrance";"MarseilleMLP";"0.5944008"
"ChoisirLaFrance";"MLPTF1";"0.5393011"
"ChoisirLaFrance";"Pageas";"0.5411721"
"ChoisirLaFrance";"Rungis";"0.5157990"
"ChoisirLaFrance";"UOIF";"0.6305108"
"ChoisirLaFrance";"Villepinte";"0.5171765"
"cnews";"FranceInter";"0.5135285"
"CoeurBattant";"Hamon2017";"0.6400296"
"CoeurBattant";"HamonNancy";"0.5179471"
"CoeurBattant";"NotreRepublique";"0.5743913"
"concert";"exposition";"0.5144907"
"DangerMacron";"InvitePol";"0.5493416"
"DangerMacron";"JeVoteMarine";"0.6806846"
"DangerMacron";"LeVraiFillon";"0.7433158"
"DangerMacron";"Marine2017";"0.6576447"
"DangerMacron";"Marine¿Nice";"0.5619535"
"DangerMacron";"MarineAParis";"0.5655837"
"DangerMacron";"Marine¿Villepinte";"0.5162393"
"DangerMacron";"MLPTF1";"0.5330466"
"DangerMacron";"Pageas";"0.5213157"
"DangerMacron";"UOIF";"0.5577744"
"DimPol";"InvitePol";"0.5432069"
"DupontAignan";"Fillon";"0.5364701"
"DupontAignan";"LePen";"0.5034291"
"E1Soir";"QuestionsPol";"0.5367336"
"EmmanuelHollande";"JeVoteFillon";"0.5604828"
"EnMarche";"JeVoteMacron";"0.6860703"
"EnMarche";"Macron2017";"0.5760571"
"EnMarche";"MacronBercy";"0.5142578"
"EnMarche";"MacronPresident";"0.6379179"
"Ensemble";"JeVoteMacron";"0.5292027"
"Ensemble";"MacronPresident";"0.5408522"
"Erdogan";"Turquie";"0.5420886"
"Fillon";"Hamon";"0.5022176"
