"Hashtag1";"Hashtag2";"Correlation"
"19hRuthElkrief";"LeDirectFerrari";"0.6261462"
"Alep";"Aleppo";"0.5142424"
"Alep";"Syrie";"0.6834124"
"AnisAmri";"AuNomDuPeuple";"0.5947314"
"AnisAmri";"FaitesLeBonChoix";"0.5663012"
"AnisAmri";"Schengen";"0.5760930"
"AuNomDuPeuple";"ConventionMLP";"0.6709759"
"AuNomDuPeuple";"FaitesLeBonChoix";"0.6672967"
"AuNomDuPeuple";"Fillon";"0.6481687"
"AuNomDuPeuple";"Guyane";"0.5650041"
"AuNomDuPeuple";"LeVraiFillon";"0.7245145"
"AuNomDuPeuple";"Marine2017";"0.7544080"
"AuNomDuPeuple";"MLPTF1";"0.5949457"
"AuNomDuPeuple";"Schengen";"0.5813081"
"AvecMV";"CeQuiNousRassemble";"0.6438261"
"AvecMV";"Valls2017";"0.8015098"
"benoithamon2017";"Hamon2017";"0.7079368"
"benoithamon2017";"Japy";"0.7119031"
"benoithamon2017";"LEmissionPolitique";"0.5304906"
"benoithamon2017";"RevenuUniversel";"0.5018286"
"Brexit";"UE";"0.5041747"
"Castro";"Royal";"0.5895808"
"Cazeneuve";"Hollande";"0.5498759"
"Cazeneuve";"Valls";"0.5553160"
"CeQuiNousRassemble";"Valls2017";"0.7885644"
"circulationalternee";"pollution";"0.6097268"
"CNPS";"PrimairesCitoyennes";"0.5751825"
"ConseildeParis";"Paris";"0.5818228"
"ConventionMLP";"FaitesLeBonChoix";"0.6207703"
"ConventionMLP";"Fillon";"0.7012701"
"ConventionMLP";"Guyane";"0.6801721"
"ConventionMLP";"LeGrandJury";"0.5033204"
"ConventionMLP";"LeVraiFillon";"0.6029640"
"ConventionMLP";"Marine2017";"0.6335731"
"ConventionMLP";"MLPTF1";"0.6154742"
"ConventionMLP";"Schengen";"0.5839797"
"diesel";"Paris";"0.6483535"
"EnMarche";"revolutionenmarche";"0.5419120"
"FaitesLeBonChoix";"Fillon";"0.5640044"
"FaitesLeBonChoix";"LeVraiFillon";"0.6025900"
"FaitesLeBonChoix";"Marine2017";"0.5912729"
"FaitesLeBonChoix";"MLPTF1";"0.6217155"
"FaitesLeBonChoix";"Schengen";"0.6017925"
"Fillon";"Guyane";"0.5435397"
"Fillon";"LeVraiFillon";"0.6173023"
"Fillon";"Marine2017";"0.5372106"
"Fillon";"MLPTF1";"0.5414124"
"Fillon";"Schengen";"0.5650476"
"Fillon";"Valls";"0.5386829"
"FranceInsoumise";"JLM2017";"0.8291363"
"FranceInter";"QuestionsPol";"0.6281386"
"gauche";"primaires";"0.5336013"
"Guyane";"LeGrandJury";"0.5523776"
"Guyane";"LeVraiFillon";"0.5623313"
"Guyane";"Marine2017";"0.5692657"
"Guyane";"referendumcostituzionale";"0.5298477"
"Hamon2017";"Japy";"0.8560193"
"Hamon2017";"LEmissionPolitique";"0.5365483"
"Hamon2017";"RevenuUniversel";"0.6676214"
"Hollande";"Valls";"0.5396269"
"LaBAP";"PrimairesCitoyennes";"0.5759590"
"LeGrandJury";"MLPTF1";"0.5400663"
"LeVraiFillon";"Marine2017";"0.6237069"
"LeVraiFillon";"MLPTF1";"0.5964201"
"LeVraiFillon";"Schengen";"0.5871121"
"LoiTravail";"smic";"0.5273695"
"Macron";"Valls";"0.5299168"
"Marine2017";"MLPTF1";"0.5008060"
"Marine2017";"Schengen";"0.5190058"
"MLPTF1";"Schengen";"0.5010413"
"Obama";"Poutine";"0.5983398"
"ouijevote";"PrimairesCitoyennes";"0.5582662"
"Paris";"StopPollution";"0.5781277"
"Poutine";"Russie";"0.5065863"
"Poutine";"Syrie";"0.5097700"
"Poutine";"Trump";"0.5176617"
"Primaire";"PrimairesCitoyennes";"0.5200836"
"QAG";"Sénat";"0.5657468"
"RERB";"SNCF";"0.5843509"
"Russie";"Syrie";"0.5083840"
"Uber";"VTC";"0.7990121"
