"Hashtag1";"Hashtag2";"Correlation"
"18mars2017";"JLM2017";"0.5550771"
"18mars2017";"LaForceDuPeuple";"0.5128817"
"6eRepublique";"JLM2017";"0.5373503"
"Ajaccio";"AuNomDuPeuple";"0.5507382"
"Ajaccio";"LeVraiMacron";"0.5273185"
"Ajaccio";"LilleMLP";"0.5034322"
"Ajaccio";"Marine2017";"0.5528209"
"ArcisSurAube";"AuNomDuPeuple";"0.6898235"
"ArcisSurAube";"InvitePol";"0.6720036"
"ArcisSurAube";"LeVraiFillon";"0.5283369"
"ArcisSurAube";"LeVraiMacron";"0.6082453"
"ArcisSurAube";"LilleMLP";"0.5942365"
"ArcisSurAube";"Marine2017";"0.6508410"
"ArcisSurAube";"Tchad";"0.5453383"
"ArcisSurAube";"TrinitéPorhoët";"0.5074761"
"ArcisSurAube";"UOIF";"0.6397634"
"Arthaud";"Poutou";"0.6064626"
"AuNomDuPeuple";"AvecMarine";"0.7174815"
"AuNomDuPeuple";"BordeauxMLP";"0.5311722"
"AuNomDuPeuple";"DebatTF1";"0.5799258"
"AuNomDuPeuple";"InvitePol";"0.5388937"
"AuNomDuPeuple";"LeVraiFillon";"0.6014555"
"AuNomDuPeuple";"LeVraiMacron";"0.6360678"
"AuNomDuPeuple";"LilleMLP";"0.6511908"
"AuNomDuPeuple";"Marine2017";"0.9208394"
"AuNomDuPeuple";"RSI";"0.5378070"
"AuNomDuPeuple";"Tchad";"0.6038849"
"AuNomDuPeuple";"TrinitéPorhoët";"0.5673687"
"AuNomDuPeuple";"UOIF";"0.7149593"
"AvecMarine";"Marine2017";"0.7496974"
"AvecMarine";"MarinePrésidente";"0.5000867"
"AvecMarine";"Tchad";"0.6277992"
"AvecMarine";"TrinitéPorhoët";"0.5803568"
"AvecMarine";"UOIF";"0.5352774"
"AvenirEnCommun";"FiscalKombat";"0.6010367"
"AvenirEnCommun";"FranceInsoumise";"0.6325865"
"AvenirEnCommun";"JLM2017";"0.7670985"
"AvenirEnCommun";"JLMLeHavre";"0.7435146"
"AvenirEnCommun";"JLMMarseille";"0.5206416"
"AvenirEnCommun";"JLMRennes";"0.5536412"
"AvenirEnCommun";"LaForceDuPeuple";"0.6251338"
"Bercy";"Hamon";"0.5199914"
"Bercy";"Hamon2017";"0.6274285"
"Bercy";"HamonBercy";"0.5891130"
"BeurFM";"MohamedSaou";"0.7486575"
"BHBruxelles";"Bruxelles";"0.5316676"
"BHBruxelles";"SPD";"0.5124564"
"BHRennes";"Hamon2017";"0.5176677"
"BienvenuePlaceBeauvau";"CabinetNoir";"0.5018608"
"BordeauxMLP";"LilleMLP";"0.5454686"
"BordeauxMLP";"Marine2017";"0.5385747"
"BordeauxMLP";"MarinePrésidente";"0.5651229"
"BordeauxMLP";"Monswiller";"0.5013615"
"BordeauxMLP";"UOIF";"0.5135141"
"Bretagne";"Morbihan";"0.5441082"
"ConfBH";"HamonReunion";"0.5912723"
"ConseildeParis";"Paris";"0.5402431"
"ConseildeParis";"propreté";"0.7002936"
"ConseildeParis";"RivesDeSeine";"0.5365737"
"DebatTF1";"LeGrandDebat";"0.5363908"
"DebatTF1";"Marine2017";"0.5703005"
"DebatTF1";"policiers";"0.6216118"
"EmmanuelHollande";"ImpostureMacron";"0.5571363"
"EnMarche";"JeVoteMacron";"0.6712652"
"EnMarche";"Macron2017";"0.5457235"
"EnMarche";"MacronMarseille";"0.5430033"
"EU60";"Europe";"0.5033221"
"euthanasie";"findevie";"0.5155306"
"fairebattrelecoeurdelafrance";"Hamon2017";"0.5668305"
"Fillon";"Hamon";"0.5237485"
"Fillon";"Hollande";"0.5135660"
"Fillon";"LEmissionPolitique";"0.5997813"
"Fillon";"LePen";"0.6490432"
"Fillon";"Macron";"0.6623240"
"Fillon";"Mélenchon";"0.6011510"
"Fillon";"Valls";"0.5543220"
"Fillon2017";"FillonParis";"0.5579291"
"Fillon2017";"FillonPresident";"0.6261232"
"Fillon2017";"JeVoteFillon";"0.5309070"
"Fillon2017";"ProjetFillon";"0.5624217"
"FillonMarseille";"FillonToulon";"0.5262231"
"FillonPresident";"ImpostureMacron";"0.5426165"
"FillonPresident";"JeVoteFillon";"0.6878634"
"FiscalKombat";"JLMChâteauroux";"0.5568680"
"FiscalKombat";"JLMLeHavre";"0.5713992"
"FiscalKombat";"JLMRennes";"0.5333509"
"FiscalKombat";"LaForceDuPeuple";"0.6332887"
"FranceInsoumise";"JLM2017";"0.6925343"
"FranceInsoumise";"JLMMarseille";"0.5972187"
"FranceInsoumise";"JLMRennes";"0.5183759"
"FranceInsoumise";"LaForceDuPeuple";"0.5781539"
"FuturDesirable";"Hamon2017";"0.6275494"
"FuturDesirable";"JeVotePour";"0.5036155"
"Hamon";"LePen";"0.5790827"
"Hamon";"Macron";"0.5050978"
"Hamon";"Mélenchon";"0.6246922"
"Hamon";"Valls";"0.6004786"
"Hamon2017";"HamonBercy";"0.7482582"
"Hamon2017";"HamonDebat";"0.7280903"
"Hamon2017";"HamonElysee";"0.7300750"
"Hamon2017";"HamonLille";"0.6238786"
"Hamon2017";"HamonPresident";"0.5463587"
"Hamon2017";"HamonTour";"0.6405266"
"Hamon2017";"JeVotePour";"0.7715664"
"Hamon2017";"JT20h";"0.5001791"
"Hamon2017";"RevenuUniversel";"0.6831867"
"Hamon2017";"RUE";"0.5986838"
"Hamon2017";"SPD";"0.5094668"
"HamonBercy";"HamonDebat";"0.6051869"
"HamonBercy";"JeVotePour";"0.5948380"
"HamonBercy";"RevenuUniversel";"0.5393927"
"HamonDebat";"HamonElysee";"0.5619836"
"HamonDebat";"HamonLille";"0.5138938"
"HamonDebat";"JeVotePour";"0.6431646"
"HamonDebat";"RevenuUniversel";"0.5779189"
"HamonElysee";"HamonLille";"0.5618594"
"HamonElysee";"HamonTour";"0.5418517"
"HamonElysee";"JeVotePour";"0.6155633"
"HamonElysee";"RevenuUniversel";"0.5572636"
"HamonElysee";"RUE";"0.5073656"
"HamonLille";"HamonReunion";"0.5219887"
"HamonLille";"JeVotePour";"0.5694682"
"HamonLille";"RevenuUniversel";"0.5829096"
"HamonNancy";"HamonReunion";"0.5806147"
"HamonPresident";"JeVotePour";"0.5752651"
"HamonPresident";"RevenuUniversel";"0.5251380"
"HamonTour";"RevenuUniversel";"0.5857996"
"HamonTour";"RUE";"0.5292671"
"Hollande";"Macron";"0.7257464"
"Hollande";"Mélenchon";"0.5124184"
"Hollande";"Valls";"0.5910634"
"Immigration";"migrants";"0.5250487"
"InvitePol";"UOIF";"0.5217939"
"JeVoteMacron";"Macron2017";"0.6994949"
"JeVoteMacron";"MacronPau";"0.5283218"
"JeVotePour";"RevenuUniversel";"0.6281390"
"JeVotePour";"RUE";"0.5281377"
"JLM2017";"JLMLeHavre";"0.5964907"
"JLM2017";"JLMLille";"0.5142267"
"JLM2017";"JLMMarseille";"0.5586458"
"JLM2017";"JLMRennes";"0.6310432"
"JLM2017";"LaForceDuPeuple";"0.6676916"
"JLMChâteauroux";"JLMLeHavre";"0.5471212"
"JLMChâteauroux";"JLMMarseille";"0.5566577"
"JLMChâteauroux";"JLMRennes";"0.5944173"
"JLMChâteauroux";"LaForceDuPeuple";"0.5596694"
"JLMChâteauroux";"LuttesSociales";"0.5916969"
"JLMLeHavre";"JLMRennes";"0.6945299"
"JLMLeHavre";"LaForceDuPeuple";"0.5347935"
"JLMLeHavre";"LuttesSociales";"0.5958332"
"JLMLille";"JLMMarseille";"0.5218397"
"JLMLille";"JLMRennes";"0.5542431"
"JLMLille";"LaForceDuPeuple";"0.5905829"
"JLMMarseille";"JLMRennes";"0.5396718"
"JLMMarseille";"LaForceDuPeuple";"0.6601523"
"JLMRennes";"LaForceDuPeuple";"0.6217593"
"JLMRennes";"LuttesSociales";"0.6100063"
"LEmissionPolitique";"Macron";"0.5766923"
"LePen";"Mélenchon";"0.6484647"
"LeVraiFillon";"LeVraiMacron";"0.6946508"
"LeVraiFillon";"LilleMLP";"0.5254936"
"LeVraiFillon";"Marine2017";"0.6697170"
"LeVraiFillon";"UOIF";"0.5412866"
"LeVraiMacron";"LilleMLP";"0.5933895"
"LeVraiMacron";"Marine2017";"0.6896079"
"LeVraiMacron";"TrinitéPorhoët";"0.5294113"
"LeVraiMacron";"UOIF";"0.6234071"
"LilleMLP";"Marine2017";"0.6459878"
"LilleMLP";"TrinitéPorhoët";"0.5302121"
"LilleMLP";"UOIF";"0.6532672"
"Macron";"Mélenchon";"0.6518940"
"Macron";"Valls";"0.6512649"
"Marine2017";"MarinePrésidente";"0.5222014"
"Marine2017";"Monswiller";"0.5288346"
"Marine2017";"RSI";"0.5569202"
"Marine2017";"Tchad";"0.6103452"
"Marine2017";"TrinitéPorhoët";"0.5310631"
"Marine2017";"UOIF";"0.7298176"
"Mélenchon";"Valls";"0.5746677"
"Nation";"Paris12";"0.5288235"
"Paris";"RivesDeSeine";"0.5825834"
"paris13";"RivesDeSeine";"0.5119428"
"Paris2024";"VenezPartager";"0.6620322"
"RevenuUniversel";"RUE";"0.5676174"
"Syrie";"Trump";"0.5456867"
"Tchad";"TrinitéPorhoët";"0.5158028"
"Tchad";"UOIF";"0.5625201"
"TrinitéPorhoët";"UOIF";"0.5033593"
