"Hashtag1";"Hashtag2";"Correlation"
"16oct";"GPA";"0.5635753"
"16oct";"LaManifPourTous";"0.5845330"
"16oct";"NePlusSubir";"0.5021794"
"16oct";"ONLR";"0.9059384"
"19h20h";"BFMPolitique";"0.5931547"
"8h30Aphatie";"ToutPourLaFrance";"0.5139132"
"AccordDeParis";"climat";"0.5577110"
"AccordDeParis";"COP21";"0.6086374"
"AccordDeParis";"ParisAgreement";"0.5051830"
"AJ2017";"AJToulon";"0.5911973"
"AJ2017";"AvecJuppe";"0.7462430"
"AJ2017";"E1Juppé";"0.5050530"
"AJ2017";"JeunesAJ";"0.6333747"
"AJ2017";"TousJuppe";"0.6937525"
"AJRennes";"AJToulon";"0.5221002"
"AJRennes";"AvecJuppe";"0.5334717"
"AJToulon";"AvecJuppe";"0.5542375"
"AJToulon";"JeunesAJ";"0.7773570"
"AJToulon";"TousJuppe";"0.5457203"
"Alep";"Syrie";"0.5535800"
"AvecBLM";"renouveau";"0.6696729"
"AvecJuppe";"E1Juppé";"0.5283556"
"AvecJuppe";"JeunesAJ";"0.6411313"
"AvecJuppe";"TousJuppe";"0.6523658"
"AvecNS";"NS2017";"0.5477198"
"AvecNS";"NSZenith";"0.5200746"
"AvecNS";"ToutPourLaFrance";"0.7827539"
"AvecNS";"Zenith";"0.5823798"
"Bayrou";"Juppé";"0.5615448"
"Béziers";"Ménard";"0.5532241"
"BourdinDirect";"ToutPourLaFrance";"0.5041979"
"Caen";"Normandie";"0.5523759"
"Calais";"jungleDeCalais";"0.5286750"
"Calais";"migrants";"0.5520432"
"CETA";"TAFTA";"0.6585547"
"climat";"COP21";"0.5021481"
"climat";"COP22";"0.5984209"
"climat";"ParisAgreement";"0.7021516"
"Clinton";"Trump";"0.7512094"
"COP21";"ParisAgreement";"0.5460096"
"DirectAN";"PLF2017";"0.6455893"
"droite";"gauche";"0.5084847"
"droite";"PrendsGarde";"0.5704462"
"Duflot";"PrimaireEELV";"0.5060069"
"E1Juppé";"Europe1";"0.6179697"
"E1Juppé";"JeunesAJ";"0.5378231"
"E1NS";"ToutPourLaFrance";"0.5257665"
"E1NS";"Zenith";"0.5094617"
"EELV";"PrimaireEELV";"0.5134627"
"Estrosi";"PACA";"0.6740788"
"Fillon";"Fillon2017";"0.6134661"
"Fillon";"FillonGagnant";"0.5650555"
"Fillon";"LEmissionPolitique";"0.5333764"
"Fillon2017";"FillonGagnant";"0.8109932"
"Fillon2017";"LEmissionPolitique";"0.5276437"
"FillonGagnant";"LEmissionPolitique";"0.5107149"
"FranceInsoumise";"JLM2017";"0.7963222"
"Fréjus";"racisme";"0.5798386"
"Goodyear";"JLM2017";"0.5972656"
"GrandParis";"Inventonslametropole";"0.5112157"
"Hollande";"Valls";"0.5739301"
"Islam";"LoiTaubira";"0.5053422"
"JeSoutiensLaPolice";"ManifPolice";"0.5497931"
"JeSoutiensLaPolice";"migrants";"0.5283377"
"JeunesAJ";"TousJuppe";"0.5584912"
"JFPoisson";"Poisson";"0.6774078"
"Juppé";"Sarkozy";"0.5683631"
"LaBAP";"PrendsGarde";"0.5647576"
"LaBAP";"Tours";"0.6288297"
"LaBAP";"UE";"0.6796827"
"LaBAP";"UEBAP";"0.5255841"
"LaBAP";"UEngagement";"0.6930415"
"LaManifPourTous";"LMPT";"0.5399207"
"LaManifPourTous";"ONLR";"0.5710105"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5569475"
"LCI";"RTL";"0.6025821"
"Loire";"SaintEtienne";"0.7990133"
"MadeInFrance";"Montebourg";"0.5792432"
"ManifPolice";"PoliciersEnColere";"0.6336723"
"NS2017";"ToutPourLaFrance";"0.5899156"
"NSinter";"ToutPourLaFrance";"0.5968001"
"NSMarseille";"NSToulon";"0.5669080"
"NSMarseille";"ToutPourLaFrance";"0.5875057"
"NSZenith";"ToutPourLaFrance";"0.7793557"
"NSZenith";"Zenith";"0.6251297"
"Poutine";"Syrie";"0.5087583"
"PrendsGarde";"UEngagement";"0.5862669"
"Primaire";"Primaire2016";"0.5998681"
"Punchline";"ToutPourLaFrance";"0.5001153"
"Tours";"UEBAP";"0.6466019"
"Tours";"UEngagement";"0.5323308"
"ToutPourLaFrance";"Zenith";"0.7224116"
"UEBAP";"UEngagement";"0.5780267"
