"Hashtag1";"Hashtag2";"Correlation"
"Alep";"Syrie";"0.6506994"
"AnisAmri";"AuNomDuPeuple";"0.5556869"
"AnisAmri";"ConventionMLP";"0.5032865"
"AnisAmri";"Schengen";"0.5911749"
"AuNomDuPeuple";"ConventionMLP";"0.7389024"
"AuNomDuPeuple";"FaitesLeBonChoix";"0.6200055"
"AuNomDuPeuple";"Fillon";"0.6363335"
"AuNomDuPeuple";"Guyane";"0.6416459"
"AuNomDuPeuple";"LeGrandJury";"0.5921322"
"AuNomDuPeuple";"LeVraiFillon";"0.7420709"
"AuNomDuPeuple";"Marine2017";"0.8385645"
"AuNomDuPeuple";"migrants";"0.5265526"
"AuNomDuPeuple";"Schengen";"0.5028138"
"AvecMV";"CeQuiNousRassemble";"0.5767981"
"AvecMV";"Valls2017";"0.8204019"
"Bayrou";"Macron";"0.5361976"
"benoithamon2017";"Hamon2017";"0.5822981"
"benoithamon2017";"Japy";"0.5897139"
"Budget2017";"Paris";"0.5110163"
"CeQuiNousRassemble";"Valls2017";"0.6868486"
"CES2017";"FrenchTech";"0.5624882"
"circulationalternee";"pollution";"0.5787453"
"CNPS";"PrimairesCitoyennes";"0.5557628"
"ConseildeParis";"Paris";"0.6444691"
"ConventionMLP";"FaitesLeBonChoix";"0.5717509"
"ConventionMLP";"Fillon";"0.5913233"
"ConventionMLP";"Guyane";"0.6071452"
"ConventionMLP";"LeVraiFillon";"0.7024079"
"ConventionMLP";"Marine2017";"0.7385200"
"ConventionMLP";"Schengen";"0.5375964"
"En2017";"Paris";"0.5702834"
"EnMarche";"revolutionenmarche";"0.5248969"
"FaitesLeBonChoix";"LeVraiFillon";"0.5356303"
"FaitesLeBonChoix";"Marine2017";"0.6044086"
"Fillon";"Guyane";"0.5098351"
"Fillon";"LeGrandJury";"0.5974685"
"Fillon";"LeVraiFillon";"0.6892474"
"Fillon";"Macron";"0.5546574"
"Fillon";"Marine2017";"0.5606062"
"Fillon";"migrants";"0.5503415"
"FranceInter";"QuestionsPol";"0.5933991"
"FrenchTech";"startup";"0.5536008"
"Guyane";"LeGrandJury";"0.6702607"
"Guyane";"LeVraiFillon";"0.5398617"
"Guyane";"Marine2017";"0.6763317"
"Hamon2017";"Japy";"0.8398002"
"Hamon2017";"RevenuUniversel";"0.6222121"
"innovation";"numérique";"0.5233236"
"Istanbul";"Turquie";"0.5212133"
"LeGrandJury";"LeVraiFillon";"0.5829457"
"LeGrandJury";"Marine2017";"0.5324544"
"LEmissionPolitique";"Valls2017";"0.6059458"
"LePen";"Mélenchon";"0.5658784"
"LeVraiFillon";"Marine2017";"0.6248961"
"LeVraiFillon";"migrants";"0.5480665"
"LeVraiFillon";"Schengen";"0.5094910"
"Macron";"Valls";"0.6258802"
"Marine2017";"Schengen";"0.5417748"
"Obama";"Poutine";"0.5914738"
"Obama";"Russie";"0.5218889"
"ouijevote";"PrimairesCitoyennes";"0.5228743"
"peillon2017";"projet";"0.6773653"
"Poutine";"Russie";"0.5613618"
"Poutine";"Syrie";"0.5082651"
"Poutine";"Trump";"0.5897771"
"Russie";"Syrie";"0.5286931"
"Uber";"VTC";"0.6446453"
