"Hashtag1";"Hashtag2";"Correlation"
"6moisBH";"CoeurBattant";"0.5740829"
"6moisBH";"Hamon2017";"0.5199947"
"Ajaccio";"ArcisSurAube";"0.5327512"
"Ajaccio";"AuNomDuPeuple";"0.5440428"
"Ajaccio";"JeVoteMarine";"0.5218285"
"Ajaccio";"Marine2017";"0.5467459"
"Ajaccio";"MarineAParis";"0.5162912"
"Ajaccio";"UOIF";"0.5050728"
"AjaccioMLP";"AuNomDuPeuple";"0.5262422"
"AjaccioMLP";"JeVoteMarine";"0.5174513"
"AjaccioMLP";"Marine2017";"0.5032542"
"AjaccioMLP";"MarseilleMLP";"0.5200436"
"AjaccioMLP";"UOIF";"0.5269808"
"ArcisSurAube";"AuNomDuPeuple";"0.5949472"
"ArcisSurAube";"InvitePol";"0.6067434"
"ArcisSurAube";"JeVoteMarine";"0.5836831"
"ArcisSurAube";"LeVraiFillon";"0.5830363"
"ArcisSurAube";"Marine2017";"0.6172574"
"ArcisSurAube";"MarineAParis";"0.5245879"
"ArcisSurAube";"Pageas";"0.6892382"
"ArcisSurAube";"PerpignanMLP";"0.5175950"
"ArcisSurAube";"UOIF";"0.6250391"
"Arthaud";"Poutou";"0.6015337"
"AuNomDuPeuple";"AvecMarine";"0.6424455"
"AuNomDuPeuple";"BordeauxMLP";"0.5670725"
"AuNomDuPeuple";"JeVoteMarine";"0.6893855"
"AuNomDuPeuple";"JT20h";"0.5742409"
"AuNomDuPeuple";"LeVraiFillon";"0.5530792"
"AuNomDuPeuple";"Marine2017";"0.9028162"
"AuNomDuPeuple";"MarineAParis";"0.7486389"
"AuNomDuPeuple";"MarinePrésidente";"0.6062860"
"AuNomDuPeuple";"MarseilleMLP";"0.7034907"
"AuNomDuPeuple";"Pageas";"0.5490194"
"AuNomDuPeuple";"PerpignanMLP";"0.5247041"
"AuNomDuPeuple";"UOIF";"0.7571309"
"AvecHamon";"Hamon2017";"0.5005916"
"AvecHamon";"JeVotePour";"0.5006174"
"AvecMarine";"Marine2017";"0.6454470"
"AvecMarine";"MarinePrésidente";"0.5492446"
"AvecMarine";"UOIF";"0.5444076"
"AvenirEnCommun";"FranceInsoumise";"0.7097496"
"AvenirEnCommun";"JLM2017";"0.7870326"
"AvenirEnCommun";"JLMFrance2";"0.6081003"
"AvenirEnCommun";"JLMLeHavre";"0.6015685"
"AvenirEnCommun";"JLMMarseille";"0.5149051"
"AvenirEnCommun";"JLMToulouse";"0.5001516"
"AvenirEnCommun";"JoursHeureux";"0.5003309"
"AvenirEnCommun";"LaForceDuPeuple";"0.5618993"
"BeurFM";"MohamedSaou";"0.5982436"
"BHJaures";"BHToulouse";"0.5084471"
"BHRennes";"Hamon2017";"0.5824869"
"BHToulouse";"Hamon2017";"0.5225198"
"BHToulouse";"NosQuartiers";"0.5049454"
"BordeauxMLP";"JeVoteMarine";"0.5397192"
"BordeauxMLP";"Marine2017";"0.5644004"
"BordeauxMLP";"MarineAParis";"0.5039970"
"BordeauxMLP";"MarinePrésidente";"0.6002918"
"BordeauxMLP";"UOIF";"0.5854840"
"Bretagne";"Morbihan";"0.5330627"
"Bretagne";"passezalouest";"0.6645621"
