"Hashtag1";"Hashtag2";"Correlation"
"6eRepublique";"FranceInsoumise";"0.5468407"
"6eRepublique";"JLMHologramme";"0.5375443"
"Alfortville";"JeVoteValls";"0.7026915"
"Alfortville";"Valls2017";"0.5672471"
"Argenteuil";"Bobigny";"0.5451154"
"AssisesMLP";"AuNomDuPeuple";"0.7299577"
"AssisesMLP";"LEmissionPolitique";"0.5023939"
"AssisesMLP";"LeVraiFillon";"0.5595786"
"AssisesMLP";"Marine2017";"0.7432933"
"AssisesMLP";"Menton";"0.5110014"
"AssisesMLP";"MLPTF1";"0.6440537"
"Aulnay";"Theo";"0.5554652"
"AuNomDuPeuple";"GrandeSynthe";"0.7151568"
"AuNomDuPeuple";"JeChoisisMarine";"0.5648384"
"AuNomDuPeuple";"JeSoutiensLaPolice";"0.6967408"
"AuNomDuPeuple";"LEmissionPolitique";"0.5309899"
"AuNomDuPeuple";"LeVraiFillon";"0.6542550"
"AuNomDuPeuple";"Marine2017";"0.8966860"
"AuNomDuPeuple";"Menton";"0.6088621"
"AuNomDuPeuple";"migrants";"0.5966013"
"AuNomDuPeuple";"MLPTF1";"0.7352440"
"AvenirEnCommun";"FranceInsoumise";"0.7319826"
"AvenirEnCommun";"JLM2017";"0.8426908"
"AvenirEnCommun";"JLMHologramme";"0.6607085"
"AvenirEnCommun";"LCI";"0.5226174"
"benoithamon2017";"Hamon2017";"0.5374232"
"benoithamon2017";"Mutualité";"0.5006595"
"Bobigny";"Theo";"0.5291752"
"Budget2017";"DirectIDF";"0.5516230"
"BudgetIDF";"CPER";"0.5512611"
"burnout";"LaSouterraine";"0.5630603"
"burnout";"RevenuUniversel";"0.5846589"
"Calais";"GrandeSynthe";"0.5808532"
"Calais";"migrants";"0.5738477"
"CETA";"EPlenary";"0.5195233"
"CETA";"StopCETA";"0.6824701"
"concert";"exposition";"0.5102439"
"concert";"theatre";"0.5452506"
"ConfAlimentation";"LaSouterraine";"0.5756106"
"ConfAlimentation";"Portugal";"0.5352664"
"DelitDentraveIVG";"IVG";"0.6280906"
"EnMarche";"Macron2017";"0.6365919"
"EnMarche";"PandaLive";"0.5283219"
"exposition";"theatre";"0.5266342"
"Fillon";"FillonGate";"0.5040653"
"Fillon";"Macron";"0.5444316"
"Fillon";"PenelopeGate";"0.6843906"
"Fillon2017";"FillonLaVillette";"0.5843764"
"Fillon2017";"FillonPresident";"0.5157714"
"FillonCharleville";"FillonPresident";"0.5052448"
"FillonCharleville";"Séguin";"0.5182366"
"FillonCompiègne";"ProjetFillon";"0.5224796"
"FillonGate";"PenelopeFillon";"0.5653350"
"FillonGate";"PenelopeGate";"0.5850421"
"FranceInsoumise";"JLM2017";"0.7190366"
"FranceInsoumise";"JLMHologramme";"0.6606709"
"FRANOR";"Handball2017";"0.7488776"
"GrandeSynthe";"JeSoutiensLaPolice";"0.5443797"
"GrandeSynthe";"Marine2017";"0.5194533"
"GrandeSynthe";"migrants";"0.6994264"
"GrandeSynthe";"MLPTF1";"0.5080384"
"Gueret";"LaSouterraine";"0.5141069"
"Hamon";"Macron";"0.5851225"
"Hamon";"Mélenchon";"0.5553792"
"Hamon";"PrimairesGauche";"0.5433907"
"Hamon";"PS";"0.5209275"
"Hamon";"Valls";"0.7539362"
"Hamon2017";"Mutualité";"0.6735197"
"Hamon2017";"PrimaireLeDebat";"0.5373845"
"Hamon2017";"RevenuUniversel";"0.6095912"
"innovation";"numérique";"0.5553038"
"JeChoisisMarine";"JeSoutiensLaPolice";"0.5090264"
"JeChoisisMarine";"Marine2017";"0.5554572"
"JeSoutiensLaPolice";"Marine2017";"0.5762712"
"JeVoteValls";"Valls2017";"0.7374636"
"JeVoteValls";"VallsTF1";"0.6387192"
"JLM2017";"JLMHologramme";"0.6676894"
"JLMHologramme";"JLMStrasbourg";"0.6197017"
"LaFranceEnMarche";"Macron2017";"0.5180920"
"LaFranceEnMarche";"MacronToulon";"0.5124784"
"LaSouterraine";"Portugal";"0.6213137"
"LEmissionPolitique";"Marine2017";"0.5257591"
"LEmissionPolitique";"MLPTF1";"0.5272232"
"LePen";"Macron";"0.5092868"
"LePen";"Mélenchon";"0.5277582"
"LeVraiFillon";"Marine2017";"0.6065204"
"MadeForSharing";"Paris2024";"0.5483586"
"Marine2017";"Menton";"0.5847527"
"Marine2017";"migrants";"0.5002842"
"Marine2017";"MLPTF1";"0.7184828"
"Menton";"MLPTF1";"0.6798891"
"MLPTF1";"QDI";"0.5073667"
"Morbihan";"Vannes";"0.7718014"
"Mutualité";"RevenuUniversel";"0.5146393"
"Paris2024";"Sharing";"0.7319111"
"PenelopeFillon";"PenelopeGate";"0.5588234"
"PrimaireGauche";"PrimairesGauche";"0.5019584"
"PrimaireLeDebat";"RevenuUniversel";"0.5247561"
"PrimairesGauche";"Valls";"0.5036762"
"Valls2017";"VallsTF1";"0.6229610"
"Victoires2017";"VictoiresDeLaMusique";"0.6338463"
