"Hashtag1";"Hashtag2";"Correlation"
"6eRepublique";"FranceInsoumise";"0.5937354"
"6eRepublique";"JLMHologramme";"0.5619972"
"agriculture";"alimentation";"0.5084523"
"Alfortville";"JeVoteValls";"0.7045419"
"Alfortville";"Valls2017";"0.5362354"
"Argenteuil";"Bobigny";"0.5287189"
"AssisesMLP";"AuNomDuPeuple";"0.7172388"
"AssisesMLP";"GrandeSynthe";"0.5097271"
"AssisesMLP";"LEmissionPolitique";"0.5096406"
"AssisesMLP";"LeVraiFillon";"0.5681350"
"AssisesMLP";"Marine2017";"0.7264532"
"AssisesMLP";"Menton";"0.5144154"
"AssisesMLP";"MLPTF1";"0.6498314"
"Aulnay";"Theo";"0.5310943"
"AuNomDuPeuple";"GrandeSynthe";"0.7105728"
"AuNomDuPeuple";"JeChoisisMarine";"0.5469993"
"AuNomDuPeuple";"JeSoutiensLaPolice";"0.6844136"
"AuNomDuPeuple";"Koblenz";"0.5221451"
"AuNomDuPeuple";"LEmissionPolitique";"0.5383802"
"AuNomDuPeuple";"LeVraiFillon";"0.6736809"
"AuNomDuPeuple";"Marine2017";"0.8979109"
"AuNomDuPeuple";"Menton";"0.6058945"
"AuNomDuPeuple";"migrants";"0.6123222"
"AuNomDuPeuple";"MLPTF1";"0.7207471"
"AvecPeillon";"peillon2017";"0.8519225"
"AvenirEnCommun";"FranceInsoumise";"0.6852356"
"AvenirEnCommun";"JLM2017";"0.8182295"
"AvenirEnCommun";"JLMHologramme";"0.6776631"
"benoithamon2017";"Hamon2017";"0.5270278"
"benoithamon2017";"Mutualité";"0.5286409"
"Bretagne";"Finistère";"0.5153302"
"Budget2017";"DirectIDF";"0.5552378"
"BudgetIDF";"CPER";"0.5324392"
"burnout";"LaSouterraine";"0.6049302"
"burnout";"RevenuUniversel";"0.5607387"
"Calais";"GrandeSynthe";"0.5807433"
"Calais";"migrants";"0.5830998"
"CETA";"EPlenary";"0.5305353"
"CETA";"StopCETA";"0.6740463"
"concert";"exposition";"0.5165513"
"concert";"theatre";"0.5259118"
"ConfAlimentation";"Gueret";"0.5060220"
"ConfAlimentation";"LaSouterraine";"0.6243927"
"DelitDentraveIVG";"IVG";"0.6475566"
"EnMarche";"LaFranceEnMarche";"0.5193815"
"EnMarche";"Macron2017";"0.6178233"
"EnMarche";"PandaLive";"0.5192777"
"EPlenary";"StopCETA";"0.5924238"
"exposition";"theatre";"0.5068713"
"Fillon";"FillonGate";"0.5101432"
"Fillon";"Macron";"0.5357861"
"Fillon";"PenelopeGate";"0.6847142"
"Fillon2017";"FillonLaVillette";"0.5974264"
"FillonCharleville";"FillonPresident";"0.5170747"
"FillonCharleville";"Séguin";"0.5402371"
"FillonCompiègne";"ProjetFillon";"0.5346485"
"FillonGate";"PenelopeFillon";"0.5426937"
"FillonGate";"PenelopeGate";"0.5836088"
"FranceInsoumise";"JLM2017";"0.7455559"
"FranceInsoumise";"JLMHologramme";"0.6760417"
"FRANOR";"Handball2017";"0.7266990"
"GrandeSynthe";"JeSoutiensLaPolice";"0.5762721"
"GrandeSynthe";"Marine2017";"0.5213873"
"GrandeSynthe";"migrants";"0.7154007"
"GrandeSynthe";"MLPTF1";"0.5119678"
"Gueret";"LaSouterraine";"0.5320626"
"Hamon";"Macron";"0.5775449"
"Hamon";"PrimaireGauche";"0.5235175"
"Hamon";"PrimairesGauche";"0.5673348"
"Hamon";"PS";"0.5252950"
"Hamon";"Valls";"0.7396547"
"Hamon2017";"Mutualité";"0.6759503"
"Hamon2017";"PrimaireLeDebat";"0.5837612"
"Hamon2017";"RevenuUniversel";"0.6103206"
"Hollande";"Macron";"0.5090730"
"innovation";"numérique";"0.5511938"
"JeChoisisMarine";"JeSoutiensLaPolice";"0.5260673"
"JeChoisisMarine";"Marine2017";"0.5373999"
"JeSoutiensLaPolice";"Marine2017";"0.5795547"
"JeSoutiensLaPolice";"migrants";"0.5559719"
"JeSoutiensLaPolice";"MLPTF1";"0.5271505"
"JeVoteValls";"Valls2017";"0.7227332"
"JeVoteValls";"VallsParis";"0.6151737"
"JeVoteValls";"VallsTF1";"0.5771288"
"JLM2017";"JLMHologramme";"0.6607124"
"JLMHologramme";"JLMStrasbourg";"0.6159846"
"Koblenz";"LeVraiFillon";"0.5210117"
"Koblenz";"MLPTF1";"0.6033490"
"LaSouterraine";"transparence";"0.5216729"
"LEmissionPolitique";"Marine2017";"0.5333358"
"LEmissionPolitique";"MLPTF1";"0.5380834"
"LeVraiFillon";"Marine2017";"0.5922478"
"LeVraiFillon";"Menton";"0.5340517"
"LeVraiFillon";"MLPTF1";"0.5264954"
"MadeForSharing";"Paris2024";"0.5548872"
"Marine2017";"Menton";"0.5577695"
"Marine2017";"MLPTF1";"0.7045197"
"Menton";"MLPTF1";"0.6719229"
"Mutualité";"RevenuUniversel";"0.5159519"
"Paris2024";"Sharing";"0.7442674"
"PenelopeFillon";"PenelopeGate";"0.5520138"
"PrimaireGauche";"PrimairesGauche";"0.5112632"
"PrimaireLeDebat";"RevenuUniversel";"0.5300268"
"Valls2017";"VallsParis";"0.5649993"
"Valls2017";"VallsTF1";"0.5529529"
"Victoires2017";"VictoiresDeLaMusique";"0.6443862"
