"Hashtag1";"Hashtag2";"Correlation"
"16oct";"GPA";"0.6004786"
"16oct";"LaManifPourTous";"0.5401739"
"16oct";"NePlusSubir";"0.5061396"
"16oct";"ONLR";"0.9025638"
"19h20h";"BFMPolitique";"0.6106665"
"8h30Aphatie";"ToutPourLaFrance";"0.5273258"
"AccordDeParis";"climat";"0.5321544"
"AccordDeParis";"COP21";"0.6029951"
"AccordDeParis";"SmileForThePlanet";"0.7321126"
"AJ2017";"AJToulon";"0.5881445"
"AJ2017";"AvecJuppe";"0.7143638"
"AJ2017";"LE20H";"0.7145747"
"AJ2017";"TousJuppe";"0.6996177"
"AJRennes";"AJToulon";"0.5473297"
"AJRennes";"AvecJuppe";"0.5123271"
"AJRennes";"TousJuppe";"0.5083549"
"AJToulon";"AvecJuppe";"0.5780519"
"AJToulon";"E1Juppé";"0.5088393"
"AJToulon";"LE20H";"0.5759450"
"AJToulon";"TousJuppe";"0.6025332"
"AuNomDuPeuple";"ConventionMLP";"0.5940956"
"AuNomDuPeuple";"JeSoutiensLaPolice";"0.5228790"
"AvecBLM";"renouveau";"0.7048802"
"AvecJuppe";"LE20H";"0.6080323"
"AvecJuppe";"TousJuppe";"0.7151129"
"AvecNS";"NS2017";"0.5072273"
"AvecNS";"Punchline";"0.5271238"
"AvecNS";"ToutPourLaFrance";"0.7910772"
"Bayrou";"Juppé";"0.5304773"
"Béziers";"Ménard";"0.5546575"
"BFMPolitique";"ConventionMLP";"0.5070048"
"BourdinDirect";"ToutPourLaFrance";"0.5147770"
"C8";"NSMarseille";"0.5362027"
"Calais";"migrants";"0.5575349"
"CàVousNS";"DimPol";"0.5213975"
"CàVousNS";"NSinter";"0.5595267"
"CETA";"TAFTA";"0.6463334"
"climat";"COP22";"0.5806890"
"climat";"ParisAgreement";"0.6028956"
"Clinton";"Trump";"0.7649208"
"ConseildeParis";"Paris";"0.6059637"
"COP21";"ParisAgreement";"0.5623694"
"COP21";"SmileForThePlanet";"0.6633371"
"COP22";"ParisAgreement";"0.5278910"
"DirectAN";"PLF2017";"0.6216932"
"directsénat";"Sénat";"0.5067979"
"droite";"PrendsGarde";"0.5686845"
"E1Juppé";"Europe1";"0.6858467"
"E1Juppé";"LE20H";"0.5727270"
"E1NS";"NSinter";"0.5253870"
"E1NS";"Punchline";"0.5232519"
"Estrosi";"PACA";"0.6043145"
"Fillon";"Fillon2017";"0.6199347"
"Fillon";"FillonGagnant";"0.5714148"
"Fillon";"LEmissionPolitique";"0.5695799"
"Fillon2017";"FillonGagnant";"0.8405366"
"FillonGagnant";"LEmissionPolitique";"0.5261785"
"FN";"migrants";"0.5079949"
"FranceInsoumise";"JLM2017";"0.8348059"
"FranceInsoumise";"RMC";"0.5480522"
"Fréjus";"racisme";"0.5517690"
"Fréjus";"sexisme";"0.5316345"
"Goodyear";"JLM2017";"0.6281199"
"GPA";"ONLR";"0.5257765"
"Hollande";"Valls";"0.5578058"
"Islam";"LoiTaubira";"0.5721522"
"itele";"JeSoutiensItele";"0.5860524"
"JeSoutiensLaPolice";"ManifPolice";"0.5814793"
"JFPoisson";"Poisson";"0.6478119"
"Juppé";"Sarkozy";"0.5667033"
"LaBAP";"PrendsGarde";"0.5455508"
"LaBAP";"Tours";"0.5874388"
"LaBAP";"UE";"0.6613716"
"LaBAP";"UEBAP";"0.5146631"
"LaBAP";"UEngagement";"0.7334881"
"LaManifPourTous";"ONLR";"0.5436865"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5604353"
"LE20H";"TousJuppe";"0.5801244"
"Loire";"SaintEtienne";"0.7950500"
"MadeInFrance";"Montebourg";"0.5437630"
"ManifPolice";"PoliciersEnColere";"0.6117379"
"NS2017";"ToutPourLaFrance";"0.5230784"
"NSinter";"ToutPourLaFrance";"0.5912587"
"NSMarseille";"NSToulon";"0.5701212"
"NSMarseille";"ToutPourLaFrance";"0.5845069"
"ParisAgreement";"SmileForThePlanet";"0.5609337"
"PrendsGarde";"UEngagement";"0.5790678"
"Primaire";"Primaire2016";"0.6061748"
"Punchline";"ToutPourLaFrance";"0.5471622"
"racisme";"sexisme";"0.7060469"
"Tours";"UEBAP";"0.7050036"
"Tours";"UEngagement";"0.5131696"
"UEBAP";"UEngagement";"0.5241208"
"Vendée";"VG2016";"0.5572330"
