"Hashtag1";"Hashtag2";"Correlation"
"Alep";"Syrie";"0.6083364"
"AnisAmri";"AuNomDuPeuple";"0.6009755"
"AnisAmri";"ConventionMLP";"0.5861766"
"AnisAmri";"LeVraiFillon";"0.5937787"
"AnisAmri";"Marine2017";"0.5625235"
"AnisAmri";"Schengen";"0.7179389"
"AuNomDuPeuple";"ConventionMLP";"0.8271352"
"AuNomDuPeuple";"FaitesLeBonChoix";"0.6304918"
"AuNomDuPeuple";"Guyane";"0.6940381"
"AuNomDuPeuple";"Les4Vérités";"0.5070198"
"AuNomDuPeuple";"LeVraiFillon";"0.7899192"
"AuNomDuPeuple";"Marine2017";"0.9046727"
"AuNomDuPeuple";"Schengen";"0.5707349"
"AvecMV";"Valls2017";"0.8021093"
"AvecPeillon";"ONPC";"0.6296710"
"AvecPeillon";"peillon2017";"0.7633410"
"AvecPeillon";"PeillonLibé";"0.5648865"
"AvecPeillon";"projet";"0.5008958"
"benoithamon2017";"Hamon2017";"0.6091878"
"Berlin";"Fillon";"0.5108589"
"Berlin";"Macron";"0.5352721"
"CES2017";"FrenchTech";"0.5474625"
"CES2017";"innovation";"0.5167866"
"CES2017";"startup";"0.5127150"
"Clermont";"Valls2017";"0.5575455"
"ConfDePresse";"Hamon2017";"0.5168073"
"ConfDePresse";"QuestionsPol";"0.6576589"
"ConfDePresse";"RevenuUniversel";"0.5871762"
"Conferasmus";"Erasmus";"0.5966097"
"ConventionMLP";"FaitesLeBonChoix";"0.5416423"
"ConventionMLP";"Guyane";"0.6986879"
"ConventionMLP";"LeVraiFillon";"0.7301865"
"ConventionMLP";"Marine2017";"0.7936736"
"ConventionMLP";"Schengen";"0.5786310"
"En2017";"Paris";"0.5911455"
"En2017";"ParisSeSouvient";"0.5046734"
"Europe";"peillon2017";"0.5987543"
"FaitesLeBonChoix";"LeVraiFillon";"0.5848405"
"FaitesLeBonChoix";"Marine2017";"0.6180954"
"Fillon";"Macron";"0.6114705"
"FillonNice";"VoeuxFillon";"0.5985417"
"FrenchTech";"innovation";"0.5566592"
"FrenchTech";"LasVegas";"0.5190551"
"FrenchTech";"startup";"0.5285635"
"FrenchTech";"startups";"0.6405338"
"Guyane";"Marine2017";"0.6911067"
"Guyane";"Schengen";"0.5231730"
"Hamon";"Valls";"0.5339426"
"Hamon2017";"Montpellier";"0.6010501"
"Hamon2017";"RevenuUniversel";"0.6779695"
"Hollande";"Macron";"0.5008181"
"Hollande";"Valls";"0.5246922"
"innovation";"numérique";"0.5041544"
"innovation";"startups";"0.5776845"
"JLM2017";"Mélenchon";"0.5374491"
"LEmissionPolitique";"Valls2017";"0.5931072"
"LeVraiFillon";"Marine2017";"0.7671352"
"Liévin";"Valls2017";"0.5520014"
"Marine2017";"Schengen";"0.6038119"
"Merkel";"Poutine";"0.5597880"
"Merkel";"Trump";"0.5686564"
"Météo";"verglas";"0.5026763"
"Montebourg";"Montebourg2017";"0.7193169"
"Montpellier";"QuestionsPol";"0.5335769"
"Montpellier";"RevenuUniversel";"0.6590152"
"neige";"verglas";"0.7484860"
"Obama";"Poutine";"0.5129386"
"Obama";"Russie";"0.5279380"
"ONPC";"peillon2017";"0.7116261"
"ouijevote";"PrimairesCitoyennes";"0.5049232"
"peillon2017";"PeillonLibé";"0.6513223"
"peillon2017";"projet";"0.6731433"
"peillon2017";"SécuritéSociale";"0.5124943"
"Pinel2017";"PRG";"0.6825776"
"Pinel2017";"SylviaPinel";"0.7285570"
"Poutine";"Russie";"0.6285210"
"Poutine";"Trump";"0.6070029"
"PRG";"SylviaPinel";"0.5786663"
"QuestionsPol";"RevenuUniversel";"0.6714234"
"Russie";"Syrie";"0.5054269"
"Uber";"VTC";"0.7060545"
