"Hashtag1";"Hashtag2";"Correlation"
"6eRepublique";"AvenirEnCommun";"0.5254519"
"6eRepublique";"FranceInsoumise";"0.6704888"
"6eRepublique";"JLM2017";"0.5119649"
"6eRepublique";"JLMHologramme";"0.5045312"
"Alfortville";"JeVoteValls";"0.6887682"
"Alfortville";"Valls2017";"0.6115838"
"AssisesMLP";"AuNomDuPeuple";"0.7276245"
"AssisesMLP";"GrandeSynthe";"0.5060200"
"AssisesMLP";"Koblenz";"0.5416000"
"AssisesMLP";"LeVraiFillon";"0.5675134"
"AssisesMLP";"Marine2017";"0.7308328"
"AssisesMLP";"MLPTF1";"0.6278314"
"AuNomDuPeuple";"Calais";"0.5048260"
"AuNomDuPeuple";"GrandeSynthe";"0.6737130"
"AuNomDuPeuple";"JeChoisisMarine";"0.5514414"
"AuNomDuPeuple";"Koblenz";"0.5993192"
"AuNomDuPeuple";"LeVraiFillon";"0.7167874"
"AuNomDuPeuple";"Marine2017";"0.9181498"
"AuNomDuPeuple";"migrants";"0.5750940"
"AuNomDuPeuple";"MLPTF1";"0.7398969"
"AvecMV";"AvecValls";"0.5542808"
"AvecMV";"Valls2017";"0.6456062"
"AvecPeillon";"Peillon";"0.5127980"
"AvecPeillon";"peillon2017";"0.9147888"
"AvecValls";"JeVoteValls";"0.5224203"
"AvecValls";"Valls2017";"0.6360952"
"AvecValls";"VallsParis";"0.5488211"
"AvenirEnCommun";"FranceInsoumise";"0.6518111"
"AvenirEnCommun";"JLM2017";"0.7123609"
"AvenirEnCommun";"JLMHologramme";"0.6075553"
"AvenirEnCommun";"LCI";"0.6414547"
"benoithamon2017";"Hamon2017";"0.5694292"
"Bretagne";"VG2016";"0.5050754"
"Budget2017";"DirectIDF";"0.5768876"
"Calais";"GrandeSynthe";"0.6656137"
"Calais";"migrants";"0.5966105"
"ClermontFerrand";"INJ";"0.5455932"
"ClermontFerrand";"RevenuUniversel";"0.5809962"
"CNlesRépublicains";"Fillon2017";"0.5796980"
"CNlesRépublicains";"FillonLaVillette";"0.5678301"
"concert";"musique";"0.5021661"
"ConseildeParis";"Paris";"0.5306889"
"EnMarche";"Macron2017";"0.5613338"
"EnMarche";"MacronLyon";"0.5541222"
"Europe";"UE";"0.5068217"
"Fillon";"FillonGate";"0.5241799"
"Fillon";"Macron";"0.5794076"
"Fillon";"PenelopeGate";"0.6916175"
"Fillon2017";"FillonLaVillette";"0.6370985"
"Fillon2017";"JTFillon";"0.5115888"
"FillonGate";"PenelopeFillon";"0.5234213"
"FillonGate";"PenelopeGate";"0.5750601"
"Forbach";"Koblenz";"0.5510324"
"FranceInsoumise";"JLM2017";"0.7056033"
"FranceInsoumise";"JLMHologramme";"0.5980729"
"FranceInsoumise";"LCI";"0.5301907"
"FRANOR";"Handball2017";"0.6370593"
"GrandeSynthe";"Marine2017";"0.5649172"
"GrandeSynthe";"migrants";"0.6410467"
"GrandeSynthe";"MLPTF1";"0.5322255"
"Hamon";"Macron";"0.6001596"
"Hamon";"PrimairesGauche";"0.5975467"
"Hamon";"PS";"0.5268723"
"Hamon";"Valls";"0.6484213"
"Hamon2017";"INJ";"0.6458677"
"Hamon2017";"Mutualité";"0.5931482"
"Hamon2017";"RevenuUniversel";"0.6514408"
"Hamon2017";"RUE";"0.5493464"
"Handball2017";"PhenomenalHandball";"0.5324789"
"Hollande";"Macron";"0.5406314"
"INJ";"RevenuUniversel";"0.6221794"
"interactiv";"le79inter";"0.5562658"
"Jaures";"Montebourg";"0.6065358"
"Jaures";"Montebourg2017";"0.7325956"
"JeChoisisMarine";"Marine2017";"0.5312446"
"JeVoteValls";"Valls2017";"0.7495316"
"JeVoteValls";"VallsParis";"0.5632483"
"JeVoteValls";"VallsTF1";"0.5457947"
"JLM2017";"JLMHologramme";"0.6323359"
"Koblenz";"LeVraiFillon";"0.5341470"
"Koblenz";"Marine2017";"0.5859800"
"Koblenz";"MLPTF1";"0.6283500"
"Koblenz";"QDI";"0.5325932"
"LaFranceEnMarche";"Macron2017";"0.6059758"
"LaMajoritéEnMarche";"Macron2017";"0.6160646"
"LaPrimaireLeDebat";"PrimaireLeDebat";"0.5103511"
"LeVraiFillon";"Marine2017";"0.6094953"
"LeVraiFillon";"MLPTF1";"0.5353247"
"Limoges";"Valls2017";"0.5083992"
"Macron";"Mélenchon";"0.5174972"
"Marine2017";"MLPTF1";"0.7403483"
"MLPTF1";"QDI";"0.5309049"
"Montebourg";"Montebourg2017";"0.6160124"
"Paris2024";"Sharing";"0.7163848"
"Peillon";"peillon2017";"0.5237981"
"PenelopeFillon";"PenelopeGate";"0.5702966"
"Pinel";"Pinel2017";"0.6050853"
"Pinel";"PRG";"0.5675918"
"PrimaireGauche";"PrimairesGauche";"0.5370329"
"PrimairesGauche";"PS";"0.5061158"
"Sénat";"Senat360";"0.5576726"
"Uber";"VTC";"0.7827868"
"Valls2017";"VallsParis";"0.6563746"
"Valls2017";"VallsTF1";"0.5161752"
"VendeeGlobe";"VG2016";"0.5636947"
