"User2";"User1";"Correlation";"PartyUser1";"PartyUser2";"User1_UserName";"User2_UserName"
"116025332";"1004071460";"0.6283843";"UMP";"UMP";"agneslebrun";"DDouillet"
"116565781";"10381732";"0.5283801";"PS";"UMP";"BaptisteChapuis";"Olaurentjoye"
"1184256836";"116565781";"0.5742239";"UMP";"UMP";"Olaurentjoye";"PierreGaboriau"
"11911322";"1004071460";"0.5056639";"UMP";"UMP";"agneslebrun";"philippejuvin"
"127643327";"104921164";"0.5423847";"PS";"PS";"VincentGuibert";"luniseMarquis"
"128149754";"116229959";"0.6243236";"UMP";"Droite";"solere92";"2courson"
"1358847770";"1358830140";"0.5986155";"UMP";"UMP";"LamureE";"CDeroche_Senat"
"1429821811";"1149260660";"0.7909462";"UMP";"UMP";"TheveninPatrick";"mhdesesgaulx"
"14658057";"118341297";"0.5425598";"PS";"PS";"Rita_Maalouf_";"jccambadelis"
"147974770";"1004071460";"0.6790286";"UMP";"UMP";"agneslebrun";"jacky_deromedi"
"147974770";"132465432";"0.5548147";"Droite";"UMP";"ACTIFSPACACORSE,PhilippeMemoli";"jacky_deromedi"
"1490528762";"128149754";"0.6561432";"Droite";"Droite";"2courson";"LePCD95"
"1490528762";"116229959";"0.6519159";"UMP";"Droite";"solere92";"LePCD95"
"156608013";"1358830140";"0.6279687";"UMP";"UMP";"LamureE";"sophieprimas"
"156608013";"1358847770";"0.5388339";"UMP";"UMP";"CDeroche_Senat";"sophieprimas"
"1567830938";"116565781";"0.6971893";"UMP";"UMP";"Olaurentjoye";"NKMavecle9eme"
"162780631";"1490528762";"0.6345261";"Droite";"Droite";"LePCD95";"chjamin"
"162780631";"1318611924";"0.5580953";"ExtremeDroite";"Droite";"OuchikhKarim";"chjamin"
"18396319";"127643327";"0.5404506";"PS";"Media";"luniseMarquis";"CNEWS,itele,cnews,CNews"
"192130715";"128149754";"0.5328542";"Droite";"UMP";"2courson";"lsailliet"
"192130715";"116025332";"0.6638399";"UMP";"UMP";"DDouillet";"lsailliet"
"192130715";"1316528215";"0.5095676";"UMP";"UMP";"LArribage";"lsailliet"
"192130715";"147974770";"0.5333151";"UMP";"UMP";"jacky_deromedi";"lsailliet"
"192130715";"1004071460";"0.6962703";"UMP";"UMP";"agneslebrun";"lsailliet"
"1931057509";"1149260660";"0.5453470";"UMP";"UMP";"TheveninPatrick";"GrosdidierSenat"
"19900973";"14658057";"0.6558637";"PS";"PS";"jccambadelis";"partisocialiste"
"19900973";"118341297";"0.7309388";"PS";"PS";"Rita_Maalouf_";"partisocialiste"
"204368725";"18396319";"0.5252736";"Media";"PCF";"CNEWS,itele,cnews,CNews";"IanBrossat"
"204368725";"14301443";"0.5216308";"PS";"PCF";"romainblachier";"IanBrossat"
"204368725";"1229928415";"0.5399525";"PS";"PCF";"psparis8";"IanBrossat"
"20702279";"116565781";"0.6730143";"UMP";"UMP";"Olaurentjoye";"nk_m"
"20702279";"1567830938";"0.7576305";"UMP";"UMP";"NKMavecle9eme";"nk_m"
"21302947";"14658057";"0.5360173";"PS";"PS";"jccambadelis";"PierreKanuty"
"21302947";"118341297";"0.7302278";"PS";"PS";"Rita_Maalouf_";"PierreKanuty"
"21302947";"19900973";"0.5108121";"PS";"PS";"partisocialiste";"PierreKanuty"
"218144431";"147974770";"0.6628503";"UMP";"UMP";"jacky_deromedi";"Sylvie_Ramond"
"218144431";"1004071460";"0.5357907";"UMP";"UMP";"agneslebrun";"Sylvie_Ramond"
"218144431";"192130715";"0.5174552";"UMP";"UMP";"lsailliet";"Sylvie_Ramond"
"22245559";"1149260660";"0.5043733";"UMP";"UMP";"TheveninPatrick";"benoistapparu"
"223847367";"217749896";"0.7169398";"FN";"FN";"MLP_officiel";"Lilian7130"
"22416221";"128149754";"0.6427370";"Droite";"UMP";"2courson";"TristanQM"
"22416221";"1490528762";"0.6958728";"Droite";"UMP";"LePCD95";"TristanQM"
"22416221";"116229959";"0.5745762";"UMP";"UMP";"solere92";"TristanQM"
"22416221";"116025332";"0.5146806";"UMP";"UMP";"DDouillet";"TristanQM"
"22416221";"1358847770";"0.5415252";"UMP";"UMP";"CDeroche_Senat";"TristanQM"
"2305186092";"218144431";"0.5449700";"UMP";"UMP";"Sylvie_Ramond";"oliviermarleix"
"231522846";"162780631";"0.7054286";"Droite";"Droite";"chjamin";"jeunespcd"
"231522846";"22416221";"0.5112465";"UMP";"Droite";"TristanQM";"jeunespcd"
"231522846";"116229959";"0.6343516";"UMP";"Droite";"solere92";"jeunespcd"
"231522846";"128149754";"0.5100737";"Droite";"Droite";"2courson";"jeunespcd"
"231522846";"1490528762";"0.6742470";"Droite";"Droite";"LePCD95";"jeunespcd"
"231522846";"139526253";"0.5105050";"Droite";"Droite";"An_Mls,Democratospher";"jeunespcd"
"232511465";"1149260660";"0.5451535";"UMP";"UMP";"TheveninPatrick";"JBLemoyne"
"2347360369";"217749896";"0.5319391";"FN";"FN";"MLP_officiel";"Bernard_Monot"
"2347360369";"223847367";"0.6449087";"FN";"FN";"Lilian7130";"Bernard_Monot"
"2347360369";"113047084";"0.5772101";"ExtremeDroite";"FN";"LdeDanne,ldedanne";"Bernard_Monot"
"2443718293";"189815209";"0.5077655";"FN";"FN";"david_rachline";"nicolasbayfn"
"2443718293";"194114947";"0.5410795";"Droite";"FN";"CBeigbeder";"nicolasbayfn"
"2443718293";"133236438";"0.5541520";"Droite";"FN";"MaximeThiebaut";"nicolasbayfn"
"244890770";"204368725";"0.5397703";"PCF";"Gauche";"IanBrossat";"erwannbinet"
"245290570";"1004071460";"0.7608365";"UMP";"UMP";"agneslebrun";"arnaudjulien34"
"245290570";"192130715";"0.6670030";"UMP";"UMP";"lsailliet";"arnaudjulien34"
"245290570";"116025332";"0.6020164";"UMP";"UMP";"DDouillet";"arnaudjulien34"
"245290570";"147974770";"0.6245036";"UMP";"UMP";"jacky_deromedi";"arnaudjulien34"
"246506946";"116229959";"0.5085093";"UMP";"UMP";"solere92";"HubertdeJenlis"
"246506946";"1543776073";"0.5871236";"centre";"UMP";"UDI_ardeche";"HubertdeJenlis"
"246506946";"1184256836";"0.5301154";"UMP";"UMP";"PierreGaboriau";"HubertdeJenlis"
"246506946";"1149260660";"0.5386017";"UMP";"UMP";"TheveninPatrick";"HubertdeJenlis"
"246919889";"2443718293";"0.5231418";"FN";"FN";"nicolasbayfn";"JClBlanchard"
"246919889";"2347360369";"0.5938635";"FN";"FN";"Bernard_Monot";"JClBlanchard"
"246919889";"113047084";"0.5717613";"ExtremeDroite";"FN";"LdeDanne,ldedanne";"JClBlanchard"
"24906326";"201737230";"0.6338026";"PS";"PS";"socialistesAN";"claudebartolone"
"24906326";"1543186440";"0.5133444";"centre";"PS";"udi_an";"claudebartolone"
"254116862";"218144431";"0.5169553";"UMP";"Droite";"Sylvie_Ramond";"brunobeschizza"
"254116862";"1004071460";"0.5254863";"UMP";"Droite";"agneslebrun";"brunobeschizza"
"25489768";"213754264";"0.5272645";"PS";"Gauche";"faureolivier";"VincentFeltesse"
"255462886";"1543776073";"0.5417441";"centre";"Droite";"UDI_ardeche";"josephfrancis34"
"258345629";"232511465";"0.5972824";"UMP";"UMP";"JBLemoyne";"alainjuppe"
"258345629";"22245559";"0.5567067";"UMP";"UMP";"benoistapparu";"alainjuppe"
"258345629";"1149260660";"0.8442550";"UMP";"UMP";"TheveninPatrick";"alainjuppe"
"258345629";"1429821811";"0.7477959";"UMP";"UMP";"mhdesesgaulx";"alainjuppe"
"258345629";"1931057509";"0.6058938";"UMP";"UMP";"GrosdidierSenat";"alainjuppe"
"26110930";"139526253";"0.5057846";"Droite";"Media";"An_Mls,Democratospher";"LCI"
"267310445";"11911322";"0.5417688";"UMP";"UMP";"philippejuvin";"DFasquelle"
"267310445";"1184256836";"0.5197682";"UMP";"UMP";"PierreGaboriau";"DFasquelle"
"269822892";"19900973";"0.7426320";"PS";"PS";"partisocialiste";"CorinneNara"
"269822892";"14658057";"0.6152471";"PS";"PS";"jccambadelis";"CorinneNara"
"269822892";"118341297";"0.7890277";"PS";"PS";"Rita_Maalouf_";"CorinneNara"
"269822892";"21302947";"0.7362867";"PS";"PS";"PierreKanuty";"CorinneNara"
"274985153";"1004071460";"0.6659478";"UMP";"UMP";"agneslebrun";"sdeschiens"
"274985153";"245290570";"0.5735946";"UMP";"UMP";"arnaudjulien34";"sdeschiens"
"274985153";"2305186092";"0.6522812";"UMP";"UMP";"oliviermarleix";"sdeschiens"
"274985153";"248655946";"0.5547303";"UMP";"UMP";"karampatrick";"sdeschiens"
"274985153";"116025332";"0.5135630";"UMP";"UMP";"DDouillet";"sdeschiens"
"274985153";"192130715";"0.5391075";"UMP";"UMP";"lsailliet";"sdeschiens"
"274985153";"147974770";"0.5854318";"UMP";"UMP";"jacky_deromedi";"sdeschiens"
"274985153";"218144431";"0.7569841";"UMP";"UMP";"Sylvie_Ramond";"sdeschiens"
"276934698";"1358847770";"0.6266350";"UMP";"UMP";"CDeroche_Senat";"valerieboyer13"
"285226634";"269822892";"0.6663313";"PS";"PS";"CorinneNara";"SebastienDenaja"
"285226634";"118341297";"0.6104976";"PS";"PS";"Rita_Maalouf_";"SebastienDenaja"
"285226634";"21302947";"0.5280969";"PS";"PS";"PierreKanuty";"SebastienDenaja"
"288670629";"276934698";"0.5625805";"UMP";"UMP";"valerieboyer13";"DominiqueDord"
"288670629";"1358847770";"0.7811469";"UMP";"UMP";"CDeroche_Senat";"DominiqueDord"
"288670629";"22416221";"0.5161893";"UMP";"UMP";"TristanQM";"DominiqueDord"
"29460450";"118341297";"0.5533121";"PS";"PS";"Rita_Maalouf_";"mdesgayets"
"29460450";"14658057";"0.5574698";"PS";"PS";"jccambadelis";"mdesgayets"
"29460450";"21302947";"0.5056943";"PS";"PS";"PierreKanuty";"mdesgayets"
"29460450";"269822892";"0.5631129";"PS";"PS";"CorinneNara";"mdesgayets"
