"User2";"User1";"Correlation";"PartyUser1";"PartyUser2";"User1_UserName";"User2_UserName"
"1041832988";"1026449407";"0.5318943";"centre";"centre";"prgparis18";"PRG_02"
"113861790";"113691851";"0.6526958";"PS";"PS";"HellaKR";"delpeyrat"
"115643244";"113691851";"0.6063737";"PS";"PS";"HellaKR";"MathieuHanotin"
"115643244";"113861790";"0.6904187";"PS";"PS";"delpeyrat";"MathieuHanotin"
"1229928415";"118341297";"0.6208971";"PS";"PS";"Rita_Maalouf_";"psparis8"
"127643327";"111887233";"0.5176876";"PS";"PS";"MASSEFLO13013";"luniseMarquis"
"135497798";"1336697245";"0.6687304";"PS";"PS";"barlis_c";"Baratti_Elbaz"
"135497798";"1229928415";"0.5270186";"PS";"PS";"psparis8";"Baratti_Elbaz"
"14389177";"115643244";"0.6837152";"PS";"PS";"MathieuHanotin";"benoithamon"
"14389177";"113861790";"0.6859599";"PS";"PS";"delpeyrat";"benoithamon"
"14389177";"1336697245";"0.5674959";"PS";"PS";"barlis_c";"benoithamon"
"14389177";"113691851";"0.7182429";"PS";"PS";"HellaKR";"benoithamon"
"14658057";"1229928415";"0.6586903";"PS";"PS";"psparis8";"jccambadelis"
"15724880";"1140898249";"0.6263202";"PS";"PS";"MartineMartinel";"patrickmennucci"
"15724880";"1041832988";"0.5472316";"centre";"PS";"PRG_02";"patrickmennucci"
"15752314";"111887233";"0.5746633";"PS";"PS";"MASSEFLO13013";"pdoucet"
"1589648886";"1140898249";"0.6104905";"PS";"PS";"MartineMartinel";"TousAvecAnne,TousAvecHamon"
"15996880";"1140898249";"0.5857285";"PS";"PS";"MartineMartinel";"cgirard"
"15996880";"135497798";"0.7239172";"PS";"PS";"Baratti_Elbaz";"cgirard"
"16697806";"1229928415";"0.5449566";"PS";"PS";"psparis8";"DamienMariller"
"182475150";"1336697245";"0.5076945";"PS";"Gauche";"barlis_c";"GCaronThibault"
"182475150";"15996880";"0.6853483";"PS";"Gauche";"cgirard";"GCaronThibault"
"182475150";"135497798";"0.6516433";"PS";"Gauche";"Baratti_Elbaz";"GCaronThibault"
"18396319";"118341297";"0.5419488";"PS";"Media";"Rita_Maalouf_";"CNEWS,itele,cnews,CNews"
"188840584";"118341297";"0.5016999";"PS";"PS";"Rita_Maalouf_";"carolinedehaas"
"189815209";"113047084";"0.5016725";"ExtremeDroite";"FN";"LdeDanne,ldedanne";"david_rachline"
"19068355";"135497798";"0.5186669";"PS";"centre";"Baratti_Elbaz";"democratesIDF"
"19900973";"1229928415";"0.6037620";"PS";"PS";"psparis8";"partisocialiste"
"19900973";"14658057";"0.9110964";"PS";"PS";"jccambadelis";"partisocialiste"
"199057447";"113861790";"0.6883388";"PS";"PS";"delpeyrat";"SCharnoz"
"199057447";"115643244";"0.5817462";"PS";"PS";"MathieuHanotin";"SCharnoz"
"199057447";"14389177";"0.6834893";"PS";"PS";"benoithamon";"SCharnoz"
"199057447";"113691851";"0.5913506";"PS";"PS";"HellaKR";"SCharnoz"
"205401299";"1229928415";"0.6254176";"PS";"PS";"psparis8";"CBrossel"
"205401299";"135497798";"0.5263476";"PS";"PS";"Baratti_Elbaz";"CBrossel"
"205401299";"182475150";"0.5302981";"Gauche";"PS";"GCaronThibault";"CBrossel"
